Áfríkà	África
Japan	Japão
Gúúsù Amẹ́ríkà	América do Sul
Nọ́rwèy	Noruega
Ilẹ̀gẹ̀ẹ́sì	Inglaterra
Skọ́tlándì	Escócia
Wélsì	País de Gales
Írẹ́lándì Apáàríwá	Irlanda do Norte
Írẹ́lándì	República da Irlanda
Húngárì	Hungria
Spéìn	Espanha
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Estados Unidos
Bẹ́ljíọ̀m	Bélgica
Lúksẹ́mbọ̀rg	Luxemburgo
Ayé	Terra
Ọmọnìyàn	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finlândia
Swídìn	Suécia
Dẹ́nmárkì	Dinamarca
Pólàndì	Polónia
Lituéníà	Lituânia
Itálíà	Itália
Swítsàlandì	Suíça
Austríà	Áustria
Gríìsì	Grécia
Túrkì	Turquia
Pọ́rtúgàl	Portugal
Europe	Europa
Ásíà	Ásia
Àríwá Amẹ́ríkà	América do Norte
Antárktìkà	Antártida
Wikipedia	Wikipédia
Nẹ́dálándì	Países Baixos
New York	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles	Los Angeles
Kọ̀mpútà	Computador
Berne	Berna
Geneva	Genebra
Zürich	Zurique
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugúáì	Uruguai
MediaWiki	MediaWiki
Lọndọnu	Londres
Káírò	Cairo
Parisi	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mẹ́ksíkò	México
Òkun Atlántíkì	Oceano Atlântico
Òkun Pàsífíkì	Oceano Pacífico
Kalifọ́rníà	Califórnia
Boston	Boston
Ọjọ́ Ajé	Segunda-feira
Oṣù Kínní	Janeiro
Oṣù Kejì	Fevereiro
Oṣù Kẹta	Março
Mársì	Marte (planeta)
Kẹ́nyà	Quénia
Ethiópíà	Etiópia
Ghánà	Gana
Oṣù Kẹrin	Abril
Oṣù Kàrún	Maio
Oṣù Kẹfà	Junho
Oṣù Keje	Julho
Oṣù Kẹjọ	Agosto
Oṣù Kẹ̀sán	Setembro
Oṣù Kẹ̀wá	Outubro
Oṣù Kọkànlá	Novembro
Oṣù Kejìlá	Dezembro
Ọjọ́ Ìsẹ́gun	Terça-feira
Ọjọ́rú	Quarta-feira
Ọjọ́bọ̀	Quinta-feira
Ọjọ́ Ẹtì	Sexta-feira
Ọjọ́ Àbámẹ́ta	Sábado
Ọjọ́ Àìkú	Domingo
Kìnìún	Leão
Fránsì	França
Èdè Esperanto	Esperanto
Ajá	Canis lupus familiaris
Ilẹ̀ọba Aṣọ̀kan	Reino Unido
Ológbò	Gato
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	República Popular da China
Èdè Faransé	Língua francesa
Brasil	Brasil
Ọtí	Álcool
François Hollande	François Hollande
Rọ́síà	Rússia
Alọ́poméjì	Quadrado
Òkun Dúdú	Mar Negro
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabama
São Paulo	São Paulo (cidade)
Sao Paulo (ìpínlẹ̀)	São Paulo
Wikimedia	Wikimedia
Jẹ́mánì	Alemanha
Bẹ̀lárùs	Bielorrússia
Il Canto degli Italiani	Il Canto degli Italiani
Èdè Jẹ́mánì	Língua alemã
Íslándì	Islândia
Ọlọ́run	Deus
Estóníà	Estónia
David Cameron	David Cameron
Sátúrnù	Saturno (planeta)
Ọkọ̀ òfurufú	Avião
Ogun	Guerra
1 (nọ́mbà)	Um
2 (nọ́mbà)	Dois
3 (nọ́mbà)	Três
4 (nọ́mbà)	Quatro
5 (nọ́mbà)	Cinco
0 (nọ́mbà)	0 (número)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Letónia
Ukréìn	Ucrânia
Tsẹ́kì Olómìnira	República Checa
Slofákíà	Eslováquia
Sloféníà	Eslovénia
Filnius	Vilnius
Móldófà	Moldávia
Románíà	Roménia
Bùlgáríà	Bulgária
Rómù	Roma
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	República da Macedónia
Albáníà	Albânia
Grínlándì	Gronelândia
Kroatíà	Croácia
Bósníà àti Hẹrjẹgòfínà	Bósnia e Herzegovina
Nuuk	Nuuk
Azerbaijan	Azerbaijão
Àndórà	Andorra
Kíprù	Chipre
Georgia	Geórgia
Kàsàkstán	Cazaquistão
Máltà	Malta
Mónakò	Mónaco
Montenẹ́grò	Montenegro
Ìlú Fatikan	Vaticano
San Màrínò	San Marino
Kúbà	Cuba
Bẹ̀lísè	Belize
Bárbádọ̀s	Barbados
Indonésíà	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Língua turca
Gúúsù Áfríkà	África do Sul
Àlgéríà	Argélia
Wikisource	Wikisource
Ùsbẹ̀kìstán	Uzbequistão
Tashkent	Tashkent
Warsaw	Varsóvia
Omi	Água
Tẹlifísàn	Televisão
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tsílè	Chile
Jésù	Jesus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileu Galilei
Mẹ́rkúríù (plánẹ̀tì)	Mercúrio (planeta)
Ìtàn	História
Apple Inc.	Apple
Àgùàlà	Vénus (planeta)
Èdè	Linguagem
Júpítérì	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Úránù	Urano (planeta)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Netuno (planeta)
Ìtòràwọ̀	Astronomia
Singapore	Singapura
Patricio Aylwin	Patricio Aylwin
Sáyẹ́nsì	Ciência
Plùtò	Plutão
Màríà (ìyá Jésù)	Maria (mãe de Jesus)
Louis 9k ilẹ̀ Fránsì	Luís IX de França
Líktẹ́nstáìnì	Liechtenstein
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Primeira Guerra Mundial
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Segunda Guerra Mundial
Ìwàìbàjẹ́	Corrupção
Augusto Pinochet	Augusto Pinochet
Skopje	Escópia
Bob Dylan	Bob Dylan
Mathimátíkì	Matemática
Èdè Látìnì	Língua latina
Báháráìnì	Bahrein
Arméníà	Arménia
Bósónì Higgs	Bóson de Higgs
Sérbíà	Sérvia
Òṣùpá	Lua
Istanbul	Istambul
Austrálíà	Austrália
Bob Marley	Bob Marley
Físíksì	Física
Argẹntínà	Argentina
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Telecomunicações
Perú	Peru
Kòréà Àríwá	Coreia do Norte
Kàmbódíà	Camboja
Kùránì	Alcorão
Ìmàle	Islão
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	União Europeia
Obìnrin	Mulher
Sofia	Sófia
Eduardo Frei Montalva	Eduardo Frei Montalva
Ewì	Poesia
Ọ̀gẹ̀dẹ̀	Banana
Émile Zola	Émile Zola
666	666
Ìlú	Cidade
Napoleon Bonaparte	Napoleão Bonaparte
Ìràwọ̀	Estrela
Òrùn	Sol
Louis Pasteur	Louis Pasteur
Victor Hugo	Victor Hugo
Oṣéáníà	Oceania
Sístẹ̀mù Òrùn	Sistema Solar
Háídrójìn	Hidrogénio
Hílíọ̀mù	Hélio
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lítíọ̀mù	Lítio
Bẹ́rílíọ̀mù	Berílio
Ìwé	Livro
Ọjọ́	Dia
Ìlàòrùn Timor	Timor-Leste
Jorge Alessandri	Jorge Alessandri
Ọdún	Ano
Ọ̀rúndún	Século
Carlos Ibáñez del Campo	Carlos Ibáñez del Campo
Oslo	Oslo
Lisbon	Lisboa
Dubai	Dubai
Bórọ̀nù	Boro
Nicolaus Copernicus	Nicolau Copérnico
Kárbọ̀nù	Carbono
Nítrójìn	Azoto
Ọ́ksíjìn	Oxigénio
Plánẹ̀tì	Planeta
Cleopatra 7k	Cleópatra
Orin	Música
Lille	Lille
Mọsko	Moscovo
Fluorínì	Flúor
Nẹ́ọ̀nù	Néon
Saint Petersburg	São Petersburgo
Tsad	Chade
Sódíọ̀mù	Sódio
Àríwá	Norte
Magnésíọ̀mù	Magnésio
Alumíníọ̀mù	Alumínio
New Zealand	Nova Zelândia
Índíà	Índia
Sílíkọ́nù	Silício
Fránsíọ̀m	Frâncio
Tufalu	Tuvalu
Fósfórù	Fósforo
André-Marie Ampère	André-Marie Ampère
Iron	Ferro
Tóngà	Tonga
Alessandro Volta	Alessandro Volta
Súlfúrù	Enxofre
Sàmóà	Samoa
Àwọn Erékùsù Sólómọ́nì	Ilhas Salomão
Fanuatu	Vanuatu
Molière	Molière
Klorínì	Cloro
Papua Guinea Titun	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Páláù	Palau
Árgọ̀nù	Árgon
Nàúrù	Nauru
Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Estados Federados da Micronésia
Pòtásíọ̀mù	Potássio
Calcium	Cálcio
Òjé	Chumbo
Àwọn Erékùṣù Marshall	Ilhas Marshall
Kìrìbátì	Kiribati
Mòngólíà	Mongólia
Fíjì	Fiji
Scandium	Escândio
Stevie Wonder	Stevie Wonder
Titaniomu	Titânio
Fenesuela	Venezuela
Saginaw	Saginaw (Michigan)
Banadiomu	Vanádio
Maine	Maine
Krómíọ̀mù	Crômio
Amsterdam	Amesterdão
Ẹranko	Animalia
Sùrìnámù	Suriname
Manganisi	Manganês
Paragúáì	Paraguai
Gùyánà	Guiana
Ọnà	Arte
Ẹ̀kùàdọ̀r	Equador
Rhenium	Rênio
Kòlómbìà	Colômbia
Cobalt	Cobalto
Wolframu	Tungstênio
Nickel	Níquel
Ẹ̀sìn Búddà	Budismo
Bòlífíà	Bolívia
Osmium	Ósmio
Bàbà	Cobre
Trínídád àti Tòbágò	Trinidad e Tobago
Ọ̀gbìn	Plantae
Saint Vincent àti àwọn Grẹnadínì	São Vicente e Granadinas
Zinc	Zinco
New Hampshire	Nova Hampshire
Lùsíà Mímọ́	Santa Lúcia
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts àti Nevis	São Cristóvão e Nevis
Èbu	Fungi
Dario Fo	Dario Fo
Jamáíkà	Jamaica
Grẹ̀nádà	Granada (país)
Massachusetts	Massachusetts
Guatẹmálà	Guatemala
Àwọn Bàhámà	Bahamas
Connecticut	Connecticut
Ántígúà àti Bàrbúdà	Antígua e Barbuda
Hawaii	Havaí
Họ̀ndúràs	Honduras
Dòmíníkà	Dominica
Jersey	Jersey
Orílẹ̀òmìnira Dómíníkì	República Dominicana
Òkun Árktìkì	Oceano Ártico
Hàítì	Haiti
El Salfador	El Salvador
Ìránì	Irão
Irak	Iraque
Alaska	Alasca
Kóstá Rikà	Costa Rica
Ísráẹ́lì	Israel
Panamá	Panamá
Yemen	Iémen
Lausanne	Lausana
Èràn	Vírus
Èdè Pólándì	Língua polaca
Jọ́rdánì	Jordânia
Nikarágúà	Nicarágua
Florida	Flórida
Kirgistani	Quirguistão
Gabriel González Videla	Gabriel González Videla
Arizona	Arizona
Kuwaiti	Kuwait
Láọ̀s	Laos
Juan Antonio Ríos	Juan Antonio Ríos
Lẹ́bánọ́nì	Líbano
Oregon	Oregon
Àwọn Maldive	Maldivas
Amẹ́ríkà	América
Utah	Utah
Malaysia	Malásia
Myanmar	Myanmar
Nepal	Nepal
Oman	Omã
Pakístàn	Paquistão
Pedro Aguirre Cerda	Pedro Aguirre Cerda
Katar	Catar
Tẹ́nìs	Ténis
Arturo Alessandri	Arturo Alessandri
Sáúdí Arábíà	Arábia Saudita
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
Síríà	Síria
Plato	Platão
Gallium	Gálio
Joseph Brodsky	Joseph Brodsky
Tajikistan	Tajiquistão
Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	República da China
Jẹ́rmáníọ́mù	Germânio
Aristotulu	Aristóteles
Tháílàndì	Tailândia
Arsenic	Arsênio
Meryl Streep	Meryl Streep
Turkmẹ́nìstán	Turquemenistão
Selenium	Selênio
Iridium	Irídio
Àwọn Ẹ́mírétì Árábù Aṣọ̀kan	Emirados Árabes Unidos
Brómìnì	Bromo
Platinum	Platina
Fiẹtnám	Vietname
Kòréà Gúúsù	Coreia do Sul
Krypton	Crípton
Afghanístàn	Afeganistão
J. R. R. Tolkien	J. R. R. Tolkien
Rubidium	Rubídio
Wúrà	Ouro
Ìladò Suez	Canal de Suez
Bangladẹ́shì	Bangladesh
Bleach (mángà)	Bleach (mangá)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Málì	Mali
Socrates	Sócrates
Àngólà	Angola
Bhùtán	Butão
Brunei	Brunei
Tànsáníà	Tanzânia
Fàdákàolómi	Mercúrio (elemento químico)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipínì	Filipinas
Orílẹ̀-èdè Olómìnira Àrin Áfríkà	República Centro-Africana
Thallium	Tálio
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Estrôncio
Yttrium	Ítrio
Bismuth	Bismuto
Tógò	Togo
Donald Tusk	Donald Tusk
Tùnísíà	Tunísia
John Bardeen	John Bardeen
Sámbíà	Zâmbia
Sìmbábúè	Zimbabwe
Beijing	Pequim
Gúúsù Sudan	Sudão do Sul
Benin	Benim
Bòtswánà	Botswana
Wikinews	Wikinotícias
Bùrkínà Fasò	Burkina Faso
Bùrúndì	Burundi
Kòmórò	Comores
Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	República do Congo
Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò	República Democrática do Congo
San Antonio	San Antonio
Djìbútì	Djibouti
Polonium	Polônio
Bavaria	Baviera
Guinea Alágedeméjì	Guiné Equatorial
Baden-Württemberg	Baden-Württemberg
Ẹritrẹ́à	Eritreia
Delhi Titun	Nova Deli
Pópù Jòhánù Páúlù Èkejì	Papa João Paulo II
Fyodor Dostoyevsky	Fiódor Dostoiévski
Tbilisi	Tbilisi
Andrei Sakharov	Andrei Sakharov
Astatínì	Ástato
Gàbọ̀n	Gabão
Mohandas Karamchand Gandhi	Mahatma Gandhi
Gámbíà	Gâmbia
Guinea	Guiné
Guinea-Bissau	Guiné-Bissau
Côte d'Ivoire	Costa do Marfim
Kamẹrúùn	Camarões
Kepu Ferde	Cabo Verde
Lèsóthò	Lesoto
Làìbéríà	Libéria
