Afrika	África
Poellad frank	Software livre
Kemper	Quimper
La Flèche	La Flèche
Mari, mamm Jezuz	Maria (mãe de Jesus)
Loeiz IX (Bro-C'hall)	Luís IX de França
Liechtenstein	Liechtenstein
Sport	Desporto
Cambridge	Cambridge
Park broadel Yellowstone	Parque Nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Blanca Kastilha	Branca de Castela
Facebook	Facebook
WikiLeaks	WikiLeaks
Brezel-bed kentañ	Primeira Guerra Mundial
Eil Brezel-bed	Segunda Guerra Mundial
Köln	Colônia (Alemanha)
Augusto Pinochet	Augusto Pinochet
Wikiarroud	Wikiquote
Horolaj	Relógio
Ubuntu	Ubuntu
Skopje	Escópia
Gdynia	Gdynia
Linux	Linux
Valdemar	Valdemar
Bob Dylan	Bob Dylan
Szczecin	Estetino
Matematik	Matemática
Latin	Língua latina
Bahrein	Bahrein
Armenia	Arménia
Jenna Jameson	Jenna Jameson
Skritur gennheñvel	Escrita cuneiforme
Bozon Higgs	Bóson de Higgs
Serbia	Sérvia
Loar	Lua
Istanbul	Istambul
Aostralia	Austrália
Bob Marley	Bob Marley
Fizik	Física
Arc'hantina	Argentina
Pellgehenterezhioù	Telecomunicações
Perou	Peru
Bevoniezh	Biologia
Nijell dianavez	Objeto voador não identificado
Republik Poblel ha Demokratel Korea	Coreia do Norte
Kambodja	Camboja
Gourizad Kuiper	Cintura de Kuiper
Koran	Alcorão
Dinosaor	Dinossauros
Loenoniezh	Zoologia
Islam	Islão
Levraoueg Aleksandria	Biblioteca de Alexandria
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Louzawouriezh	Botânica
Lech Wałęsa	Lech Wałęsa
Rod	Roda
Georges Brassens	Georges Brassens
Peoc'h	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unaniezh Europa	União Europeia
Plovdiv	Plovdiv
Star Wars	Star Wars
Rhône-Alpes	Ródano-Alpes
World Wide Web	World Wide Web
Maouez	Mulher
Sofia	Sófia
Ñ	Ñ
Derwal	Derval (Loire-Atlantique)
Don Quijote de la Mancha	Dom Quixote
Barzhoniezh	Poesia
Leziregezh	Preguiça
Bombezadennoù atomek Hiroshima ha Nagasaki	Bombardeamentos de Hiroshima e Nagasaki
Milano	Milão
Arthur Rimbaud	Arthur Rimbaud
Torino	Turim
Kaoc'h	Fezes
Fraezh	Ânus
Kazel	Axila
Suraval	Limão
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Bananez	Banana
Émile Zola	Émile Zola
666	666
Bleuñv	Flor
Gogol	Googol
Vladimir Vysotsky	Vladimir Vysotsky
Menez Everest	Monte Everest
Korfadurezh	Anatomia
Kêr	Cidade
Napoleon Iañ	Napoleão Bonaparte
Olympus Mons	Monte Olimpo (Marte)
Steredenn	Estrela
Vesuvio	Vesúvio
Heol	Sol
Oabl	Céu
Louis Pasteur	Louis Pasteur
Bloavezh-gouloù	Ano-luz
Victor Hugo	Victor Hugo
Okeania	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Atleterezh	Atletismo
Koskoriad an Heol	Sistema Solar
Mor Baltel	Mar Báltico
Trieste	Trieste
Stêr Wisła	Rio Vístula
Avenue des Champs-Élysées	Champs-Élysées
Oder	Rio Oder
Dant	Dente
Hidrogen	Hidrogénio
Patti Smith	Patti Smith
Heliom	Hélio
Ifern	Inferno
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litiom	Lítio
Beriliom	Berílio
Levr	Livro
Deiz	Dia
Timor ar Reter	Timor-Leste
Noz	Noite
Bloaz	Ano
Kantved	Século
Łódź	Łódź
Menez Gwenn	Monte Branco
Roen	Reno
Oslo	Oslo
Bonn	Bona
Gouel an Hollsent	Dia de Todos-os-Santos
Katowice	Katowice
Toull du	Buraco negro
Luís de Camões	Luís de Camões
Gae	Gay
Keres (korrblanedenn)	Ceres (planeta anão)
Lisbon	Lisboa
Ron	Rio Ródano
Ì Chaluim Chille	Iona (Escócia)
136199 Eris	Éris (planeta anão)
Dubai	Dubai
Lionel Messi	Lionel Messi
Padova	Pádua
Bor	Boro
Nicolaus Copernicus	Nicolau Copérnico
Versailhez	Versalhes
Karbon	Carbono
Volga	Rio Volga
Nitrogen	Azoto
Bergamo	Bérgamo
Oksigen	Oxigénio
Football Club Internazionale Milano	Football Club Internazionale Milano
Jean Moulin	Jean Moulin
Neil Young	Neil Young
Planedenn	Planeta
Kleopatra VII	Cleópatra
Kate Bush	Kate Bush
Sonerezh	Música
Venezia	Veneza
Naruto	Naruto
Po	Rio Pó
Neva	Rio Neva
Roazhon	Rennes
Lille	Lille
Moskov	Moscovo
Fluor	Flúor
Italianeg	Língua italiana
Chihuahua (ki)	Chihuahua (cão)
Neon	Néon
Chihuahua (stad)	Chihuahua
Sant-Petersbourg	São Petersburgo
Tchad	Chade
Sodiom	Sódio
Norzh	Norte
Magneziom	Magnésio
Aluminiom	Alumínio
Zeland-Nevez	Nova Zelândia
Lugdunum	Lugduno
Su	Sul
India	Índia
Silisiom	Silício
Frankiom	Frâncio
Tuvalu	Tuvalu
One Piece	One Piece
Fosfor	Fósforo
André-Marie Ampère	André-Marie Ampère
Komz-plaen	Prosa
Houarn	Ferro
Tonga	Tonga
Kornôg	Oeste
Alessandro Volta	Alessandro Volta
Sulfur	Enxofre
Samoa	Samoa
Reter	Leste
Inizi Salomon	Ilhas Salomão
Vanuatu	Vanuatu
Molière	Molière
Klor	Cloro
Delft	Delft
Papoua Ginea-Nevez	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Fablenn	Fábula
Zuid-Holland	Holanda do Sul
Palau	Palau
Argon	Árgon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kontadenn	Contos de fadas
Noord-Holland	Holanda do Norte
Stadoù Kevreet Mikronezia	Estados Federados da Micronésia
Potasiom	Potássio
Olympique lyonnais	Olympique Lyonnais
Zeeland	Zelândia (Países Baixos)
Kalsiom	Cálcio
Flevoland	Flevolândia
Plom	Chumbo
Inizi Marshall	Ilhas Marshall
Kiribati	Kiribati
Mongolia	Mongólia
Fidji	Fiji
Skandiom	Escândio
Titaniom	Titânio
Venezuela	Venezuela
Echedoù	Xadrez
Genghis Khan	Gengis Khan
Vanadiom	Vanádio
Maine (stad)	Maine
Krom	Crômio
Marc'h	Equus ferus caballus
Amsterdam	Amesterdão
Arm	Arma
Loen	Animalia
Surinam	Suriname
Manganez	Manganês
Paraguay	Paraguai
Guyana	Guiana
Arz	Arte
Ecuador	Equador
Reniom	Rênio
Croque-monsieur	Croque-monsieur
Kolombia	Colômbia
Kobalt	Cobalto
Jean Racine	Jean Racine
Wolfram (tungsten)	Tungstênio
Nikel	Níquel
Boudaegezh	Budismo
Groningen (kêr)	Groninga
Bolivia	Bolívia
Osmiom	Ósmio
Groningen (proviñs)	Groninga (província)
Kouevr	Cobre
Trinidad ha Tobago	Trinidad e Tobago
Plant	Plantae
Sant Visant hag an Inizi Granadinas	São Vicente e Granadinas
Zink	Zinco
New Hampshire	Nova Hampshire
Santez-Lusia (stad)	Santa Lúcia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts ha Nevis	São Cristóvão e Nevis
Fungi	Fungi
Dario Fo	Dario Fo
Jamaika	Jamaica
Grenada	Granada (país)
Friz	Frísia (província)
Massachusetts	Massachusetts
Drenthe	Drente
Overijssel	Overissel
Guatemala	Guatemala
Gelderland	Guéldria
Proviñs Utrecht	Utrecht (província)
Bahamas	Bahamas
Connecticut	Connecticut
Yar (evn)	Gallus gallus domesticus
Antigua ha Barbuda	Antígua e Barbuda
Hawaii	Havaí
Honduras	Honduras
Dominika	Dominica
Jerzenez	Jersey
Republik Dominikan	República Dominicana
Pemoc'h	Sus domesticus
Meurvor skornek Arktika	Oceano Ártico
Republik Haiti	Haiti
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Iran	Irão
Sotoni	Estupidez
Irak	Iraque
Alaska	Alasca
Assen	Assen
Costa Rica	Costa Rica
Israel	Israel
Utrecht (kêr)	Utrecht
Panamá	Panamá
Yemen	Iémen
Randstad	Randstad (região)
Lausanne	Lausana
Virus	Vírus
Poloneg	Língua polaca
Jordania	Jordânia
Nicaragua	Nicarágua
Florida	Flórida
Kirgizstan	Quirguistão
Arizona	Arizona
Koweit	Kuwait
Laos	Laos
Liban	Líbano
Oregon	Oregon
Maldivez	Maldivas
Amerika	América
Utah	Utah
Bos taurus	Bos taurus
Malaysia	Malásia
Valais	Valais (cantão)
Myanmar	Myanmar
Nepal	Nepal
Oman	Omã
Pakistan	Paquistão
James Bond	James Bond
Katar	Catar
Tennis	Ténis
Arabia Saoudat	Arábia Saudita
Sri Lanka	Sri Lanka
Jozef Stalin	Josef Stalin
Siria	Síria
Platon	Platão
Galliom	Gálio
Iosif Brodskiy	Joseph Brodsky
Tadjikistan	Tajiquistão
Pokémon	Pokémon
Republik Sina	República da China
Germaniom	Germânio
Aristoteles	Aristóteles
Thailand	Tailândia
Tren	Trem
Arsenik	Arsênio
Skingomz	Rádio (telecomunicações)
Meryl Streep	Meryl Streep
Turkmenistan	Turquemenistão
Seleniom	Selênio
Iridiom	Irídio
Emirelezhioù Arab Unanet	Emirados Árabes Unidos
Brom	Bromo
Platin	Platina
Viêt Nam	Vietname
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Republik Korea	Coreia do Sul
Józef Piłsudski	Józef Piłsudski
The Simpsons	Os Simpsons
Yekaterinbourg	Ecaterimburgo
Kripton	Crípton
Afghanistan	Afeganistão
Nijniy Novgorod	Níjni Novgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Samara (kêr Rusia)	Samara (Rússia)
Rubidiom	Rubídio
Aour	Ouro
Omsk	Omsk
Kanol Suez	Canal de Suez
Kazan	Cazã
Bangladesh	Bangladesh
Franz Kafka	Franz Kafka
Rostov-an-Don	Rostov do Don
Jorge Luis Borges	Jorge Luis Borges
Oufa (kêr)	Ufa
Mali	Mali
Sokrates	Sócrates
Volgograd	Volgogrado
Angola	Angola
Perm	Perm
Bhoutan	Butão
Twitter	Twitter
Brunei	Brunei
Brač	Brač
Tanzania	Tanzânia
Bevargant	Mercúrio (elemento químico)
Roald Amundsen	Roald Amundsen
Filipinez	Filipinas
Republik Kreizafrikan	República Centro-Africana
Talliom	Tálio
Pennahel ar Su	Polo Sul
Pennahel an Norzh	Polo Norte
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontiom	Estrôncio
Pedro Iañ Brazil	Pedro I do Brasil
Itriom	Ítrio
Bismut	Bismuto
Melen (liv)	Amarelo
Togo	Togo
Donald Tusk	Donald Tusk
Tunizia	Tunísia
Zambia	Zâmbia
Zimbabwe	Zimbabwe
Beijing	Pequim
Roll ar rolloù	Lista de listas
Soudan ar Su	Sudão do Sul
Vladivostok	Vladivostok
Touva	Tuva
Benin	Benim
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komorez	Comores
Republik Kongo	República do Congo
Alkmaar	Alkmaar
Ob	Rio Ob
Republik Demokratel Kongo	República Democrática do Congo
San Antonio (Texas)	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Poloniom	Polônio
Bavaria	Baviera
Ginea ar C'heheder	Guiné Equatorial
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritreia
New Delhi	Nova Deli
Yann-Baol II	Papa João Paulo II
Fyodor Dostoyevskiy	Fiódor Dostoiévski
Amersfoort	Amersfoort
Ledenez Kamtchatka	Península de Kamchatka
Tbilisi	Tbilisi
Appingedam	Appingedam
Andrey Sac'harov	Andrei Sakharov
Astat	Ástato
Gabon	Gabão
Mahatma Gandhi	Mahatma Gandhi
Solidarność	Solidarność
Bannoù-treset	Banda desenhada
Gambia	Gâmbia
Ginea	Guiné
Ginea-Bissau	Guiné-Bissau
Aod an Olifant	Costa do Marfim
Kameroun	Camarões
Kab Glas	Cabo Verde
Lesotho	Lesoto
Liberia	Libéria
Libia	Líbia
Aachen	Aquisgrano
Madagaskar	Madagáscar
Malawi	Malawi
Stuttgart	Estugarda
Maouritania	Mauritânia
Maoris	Maurícia
Maroko	Marrocos
Mozambik	Moçambique
Namibia	Namíbia
France Prešeren	France Prešeren
Niger	Níger
Nigeria	Nigéria
Biel/Bienne	Bienna
Charles Darwin	Charles Darwin
Ouganda	Uganda
Rwanda	Ruanda
Zirkoniom	Zircônio
São Tomé ha Príncipe	São Tomé e Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Sechelez	Seicheles
Carl von Linné	Carolus Linnaeus
Sierra Leone	Serra Leoa
Somalia	Somália
Niobiom	Nióbio
Jawaharlal Nehru	Jawaharlal Nehru
Caius Julius Caesar	Júlio César
Soudan	Sudão
Swaziland	Suazilândia
Kanevedenn	Arco-íris
Molibden	Molibdênio
Teknetiom	Tecnécio
Hamburg	Hamburgo
Metabolegezh	Metabolismo
Narendra Modi	Narendra Modi
Gujarat	Gujarate
Lenn Ontario	Lago Ontário
Alessandro Manzoni	Alessandro Manzoni
Aozadur ar Broadoù Unanet	Organização das Nações Unidas
Lenn Superior	Lago Superior
Dante Alighieri	Dante Alighieri
Douarouriezh	Geologia
Douaroniezh	Geografia
Kalon	Coração
Empenn	Cérebro
Kroc'hen	Pele
Liv	Cor
Star Trek (heuliadenn orin)	Star Trek (série original)
Salerno	Salerno
Anv-kadarn	Substantivo
Praha	Praga
Ruteniom	Rutênio
Rodiom	Ródio
Glas (liv)	Azul
Palladiom	Paládio
Arc'hant (metal)	Prata
Kadmiom	Cádmio
Star Trek	Star Trek
Limburg (Izelvroioù)	Limburgo (Países Baixos)
Indiom	Índio (elemento químico)
Limbourg (Belgia)	Limburgo (Bélgica)
Staen	Estanho
Uraniom	Urânio
Antimon	Antimônio
Telluriom	Telúrio
Noord-Brabant	Brabante do Norte
Plutoniom	Plutónio
Iod	Iodo
Neptuniom	Neptúnio
Ksenon	Xenônio
Anime	Anime
Keziom	Césio
Protaktiniom	Protactínio
Bariom	Bário
Proviñs Kornôg-Flandrez	Flandres Ocidental
Reter-Flandrez	Flandres Oriental
Toriom	Tório
Antwerpen (proviñs)	Antuérpia (província)
Brabant Flandrez	Brabante Flamengo
Hafniom	Háfnio
Aktiniom	Actínio
Brabant Wallonia	Brabante Valão
Tantalom	Tântalo (elemento químico)
Bill Clinton	Bill Clinton
Namur (proviñs)	Namur (província)
Luksembourg (proviñs)	Luxemburgo (Bélgica)
Liège (proviñs)	Liège (província)
Radiom	Rádio (elemento químico)
Hainaut (proviñs)	Hainaut
Radon	Rádon
Lorraine (rannvro)	Lorena (França)
Elzas	Alsácia
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merc'her (doue)	Mercúrio (mitologia)
Louis Hector Berlioz	Hector Berlioz
Auvergne (rannvro)	Auvérnia
Mumbai	Bombaim
Andhra Pradesh	Andra Pradexe
Arunachal Pradesh	Arunachal Pradesh
Asam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Lenn Michigan	Lago Michigan
Goa	Goa
Bourgogn (rannvro)	Borgonha
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Akitania (rannvro)	Aquitânia
Jammu ha Kachmir	Jammu e Caxemira
Puerto Rico	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Querala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin (rannvro)	Limusino
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Pomerania ar C'hornaoueg	Mecklemburgo-Pomerânia Ocidental
Saks-Izel	Baixa Saxônia
Nordrhein-Westfalen	Renânia do Norte-Vestfália
Hessen	Hesse
Rheinland-Pfalz	Renânia-Palatinado
Saarland	Sarre
Saks	Saxônia
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Turíngia
Saks-Anhalt	Saxônia-Anhalt
North Dakota	Dakota do Norte
Brandenburg	Brandemburgo
Bremen	Bremen (estado)
Lombardia	Lombardia
South Dakota	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Jeruzalem	Jerusalém
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Traoñienn Aosta	Vale de Aosta
Washington (stad)	Washington
Rutherfordiom	Rutherfórdio
Nevada	Nevada
Francesco Cossiga	Francesco Cossiga
Dubniom	Dúbnio
Seaborgiom	Seabórgio
Trentino-Alto Adige	Trentino-Alto Ádige
Meurvor Indez	Oceano Índico
Veneto	Vêneto
Kosovo	Kosovo
Mor Karib	Mar do Caribe
Bohriom	Bóhrio
Friuli-Venezia Giulia	Friul-Veneza Júlia
Hasiom	Hássio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria (Rannvro)	Ligúria
Meitneriom	Meitnério
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia-Romagna	Emília-Romanha
Colorado (stêr)	Rio Colorado
Darmstadtiom	Darmstácio
Frédéric Chopin	Frédéric Chopin
Kaotigell	Doce (alimento)
Roentgeniom	Roentgênio
Toskana	Toscana
Leonard Cohen	Leonard Cohen
Kopernisiom	Copernício
Marche	Marcas
Umbria	Úmbria
Rummad:Rummad pennañ	Categoria:Conteúdo
Lazio	Lácio
Abruzzo	Abruzos
Alpoù	Alpes
Karpatoù	Cárpatos
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Dortmund	Dortmund
Gent	Gante
Chicago	Chicago
The Beatles	The Beatles
Fleroviom	Fleróvio
Livermoriom	Livermório
Maastricht	Maastricht
Arnhem	Arnhem
Goañv	Inverno
Nevezamzer	Primavera
Hañv	Verão
Diskar-amzer	Outono
Kedez	Equinócio
Saddam Husain	Saddam Hussein
Ousama ben Laden	Osama bin Laden
Spagnoleg	Língua castelhana
Montevideo	Montevidéu
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
C'hoarigan	Ópera
Philadelphia	Filadélfia
Kolkata	Calcutá
Chennai	Chennai
Delhi	Deli
Dhaka	Daca
Bangalore	Bangalore
Kornôg Bengal	Bengala Ocidental
Kevnid	Aranha
Arthropoda	Artrópode
Islamabad	Islamabad
Tripura	Tripura
Frouezh	Fruto
Marmouz (loen)	Macaco
Arc'hant	Dinheiro
Virginia	Virgínia
West Virginia	Virgínia Ocidental
Kevioù hag Erevent	Dungeons & Dragons
Gary Gygax	Gary Gygax
Dave Arneson	Dave Arneson
Lenn Huron	Lago Huron
New York (Stad)	Nova Iorque (estado)
Keriom	Cério
Prazeodimiom	Praseodímio
Rhode Island	Rhode Island
Neodimiom	Neodímio
Amprevan	Insetos
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Europiom	Európio
Ohio	Ohio
Publius Vergilius Maro	Virgílio
Niccolò Machiavelli	Nicolau Maquiavel
Pennsylvania	Pensilvânia
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Aogust (impalaer)	Augusto
Microsoft Windows	Microsoft Windows
Tiberius Caesar Augustus	Tibério
New Jersey	Nova Jérsia
Caligula	Calígula
Jibraltar	Gibraltar
Glaoda Iañ	Cláudio
Finneg	Língua finlandesa
Indiana	Indiana
Vitellius	Vitélio
Vespasianus	Vespasiano
Karr-tan	Automóvel
Titus (impalaer)	Tito (imperador)
Domitianus	Domiciano
Roger Federer	Roger Federer
Hadrian	Adriano
Georgia	Geórgia (Estados Unidos)
Antoninus Pius	Antonino Pio
Marcus Aurelius	Marco Aurélio
Zagreb	Zagreb
Rajasthan	Rajastão
Campania	Campânia
Texas	Texas
Molise	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracala
Puglia	Apúlia
Genova	Génova
Bruno Mars	Bruno Mars
Basilicata	Basilicata
North Carolina	Carolina do Norte
South Carolina	Carolina do Sul
Calabria	Calábria
Heureuchin skouarnek	Hemiechinus auritus
Sikilia	Sicília
Manila	Manila
Sardigna	Sardenha
Ferdinand Marcos	Ferdinando Marcos
Benigno Aquino III	Noynoy Aquino
Liger	Rio Loire
Saena	Sena
Ar Mañs	Le Mans
Bourdel	Bordéus
Lupus	Lúpus eritematoso sistêmico
Buenos Aires	Buenos Aires
Kêr-Vec'hiko	Cidade do México
Tokyo	Tóquio
La Paz (Bolivia)	La Paz
Barcelona	Barcelona
Mississippi (stad)	Mississippi
Fernão de Magalhães	Fernão de Magalhães
Mississippi (stêr)	Rio Mississippi
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
José Rizal	José Rizal
Poull-neuial	Piscina
Mizoram	Mizoram
Sikkim	Siquim
Patagonia	Patagónia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abidjã
Abu Dhabi	Abu Dhabi
Astana	Astana
New Mexico	Novo México
Ramses II	Ramsés II
Aten	Atenas
Minnesota	Minnesota
Baghdad	Bagdá
Caracas	Caracas
UTC	Tempo Universal Coordenado
