Afrika	África
Japani	Japão
Amerika ya Kusini	América do Sul
Norwei	Noruega
Uingereza	Inglaterra
Uskoti	Escócia
Welisi	País de Gales
Eire	República da Irlanda
Hungaria	Hungria
Hispania	Espanha
Marekani	Estados Unidos
Ubelgiji	Bélgica
Luxemburg	Luxemburgo
Ulimwengu	Universo
Dunia	Terra
Mauti	Morte
Binadamu	Homo sapiens
George Washington	George Washington
Jack Bauer	Jack Bauer
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Ufini	Finlândia
Uswidi	Suécia
Denmark	Dinamarca
Poland	Polónia
Lituanya	Lituânia
Italia	Itália
Uswisi	Suíça
Austria	Áustria
Ugiriki	Grécia
Uturuki	Turquia
Bia	Cerveja
Ureno	Portugal
Ulaya	Europa
Asia	Ásia
Amerika ya Kaskazini	América do Norte
Bara la Antaktiki	Antártida
Wikipedia	Wikipédia
Uholanzi	Países Baixos
Mboo	Pênis
New York	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Tarakilishi	Computador
Bern	Berna
Geneva	Genebra
Zürich	Zurique
IRC	Internet Relay Chat
Intaneti	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
London	Londres
Kairo	Cairo
Aleksandria	Alexandria
Alexandria, Virginia	Alexandria (Virgínia)
Tofaa	Maçã
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Mexiko	México
Atlantiki	Oceano Atlântico
Pasifiki	Oceano Pacífico
California	Califórnia
Boston, Massachusetts	Boston
Jumatatu	Segunda-feira
Januari	Janeiro
Februari	Fevereiro
Machi	Março
Mirihi	Marte (planeta)
Kenya	Quénia
Ethiopia	Etiópia
Ghana	Gana
Aprili	Abril
Mei	Maio
Juni	Junho
Julai	Julho
Agosti	Agosto
Septemba	Setembro
Oktoba	Outubro
Novemba	Novembro
Desemba	Dezembro
Jumanne	Terça-feira
Jumatano	Quarta-feira
Alhamisi	Quinta-feira
Ijumaa	Sexta-feira
Jumamosi	Sábado
Jumapili	Domingo
Kitunda (kete)	Peão (xadrez)
Shaha (kete)	Rei (xadrez)
Simba	Leão
Ufaransa	França
Kiesperanto	Esperanto
Mbwa-kaya	Canis lupus familiaris
Ufalme wa Muungano	Reino Unido
Paka-kaya	Gato
Jamhuri ya Watu wa China	República Popular da China
Kifaransa	Língua francesa
Wiktionary	Wikcionário
Samaki	Peixe
Ethanoli	Etanol
Brazil	Brasil
Alkoholi	Álcool
Urusi	Rússia
Nyangumi	Cetáceos
Mraba	Quadrado
Bahari	Mar
Bahari Nyeusi	Mar Negro
Pi (namba)	Pi
Pi	Π
Wiki	Wiki
Toronto, Ontario	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
Jimbo la São Paulo	São Paulo
Quebec	Quebec
Pizza	Pizza
Pasta	Massa alimentícia
Wikimedia Foundation	Wikimedia
Jimmy Wales	Jimmy Wales
Ujerumani	Alemanha
Belarus	Bielorrússia
Kijerumani	Língua alemã
Iceland	Islândia
Mungu	Deus
Estonia	Estónia
Zohali	Saturno (planeta)
Chokoleti	Chocolate
Ndege (uanahewa)	Avião
Vita	Guerra
Moja	Um
Mbili	Dois
Tatu	Três
Nne	Quatro
Tano	Cinco
Sifuri	0 (número)
George W. Bush	George W. Bush
Mstatili	Retângulo
Pembemraba	Ângulo reto
Latvia	Letónia
Ukraine	Ucrânia
Ucheki	República Checa
Slovakia	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Romania	Roménia
Bulgaria	Bulgária
Roma	Roma
Jamhuri ya Masedonia	República da Macedónia
Albania	Albânia
Greenland	Gronelândia
Kroatia	Croácia
Bosnia na Herzegovina	Bósnia e Herzegovina
Azerbaijan	Azerbaijão
Andorra	Andorra
Kupro	Chipre
Georgia (nchi)	Geórgia
Wallonia	Valônia
Kazakhstan	Cazaquistão
Malta	Malta
Flandria	Flandres
Monako	Mónaco
Montenegro	Montenegro
Vatikani	Vaticano
San Marino	San Marino
Brussels	Bruxelas
Kuba	Cuba
Belize	Belize
Mnara wa Eiffel	Torre Eiffel
Barbados	Barbados
Volkswagen	Volkswagen
Baobonye	Teclado (informática)
Indonesia	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Kituruki	Língua turca
Afrika Kusini	África do Sul
Algeria	Argélia
Uzbekistan	Uzbequistão
Umande jua	Drosera
Tashkent	Tashkent
Warshawa	Varsóvia
Modena	Módena
Divai	Vinho
Maji	Água
Ubao	Madeira
Tours	Tours
Televisheni	Televisão
Jinsia	Sexo
Diego Velázquez	Diego Velázquez
Chile	Chile
Yesu	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileu Galilei
Utaridi	Mercúrio (planeta)
Historia	História
Zuhura	Vénus (planeta)
Lugha	Linguagem
Pendo	Amor
Udikteta	Ditadura
Galaksi	Galáxia
Mshtarii	Júpiter (planeta)
Njia nyeupe	Via Láctea
Mlipuko mkuu	Big Bang
Uranus	Urano (planeta)
Bretagne	Bretanha
Wikipedia ya Kiingereza	Wikipédia em inglês
Nicolas Sarkozy	Nicolas Sarkozy
Neptun	Netuno (planeta)
Astronomia	Astronomia
Singapuri	Singapura
Sayansi	Ciência
Pluto	Plutão
Montreal	Montreal
Quimper	Quimper
Bikira Maria	Maria (mãe de Jesus)
Ludoviko IX	Luís IX de França
Liechtenstein	Liechtenstein
Michezo	Desporto
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Vita Kuu ya Kwanza ya Dunia	Primeira Guerra Mundial
Vita Kuu ya Pili ya Dunia	Segunda Guerra Mundial
Köln	Colônia (Alemanha)
Saa (ala)	Relógio
Skopje	Escópia
Bob Dylan	Bob Dylan
Hisabati	Matemática
U2	U2
Kilatini	Língua latina
Bahrain	Bahrein
Armenia	Arménia
Mwandiko wa kikabari	Escrita cuneiforme
Serbia	Sérvia
Mwezi (gimba la angani)	Lua
Istanbul	Istambul
Australia	Austrália
Bob Marley	Bob Marley
Fizikia	Física
Argentina	Argentina
Mawasilianoanga	Telecomunicações
Peru	Peru
Biolojia	Biologia
Korea Kaskazini	Coreia do Norte
Kamboja	Camboja
Ukanda wa Kuiper	Cintura de Kuiper
Qurani	Alcorão
Dinosauri	Dinossauros
Zoolojia	Zoologia
Uislamu	Islão
Mpea	Pera
Maktaba ya Aleksandria	Biblioteca de Alexandria
Lyublyana	Liubliana
Botania	Botânica
Lech Wałęsa	Lech Wałęsa
Gurudumu	Roda
Amani	Paz
Encyclopedia Britannica	Encyclopædia Britannica
Lyon	Lyon
Poissy	Poissy
Umoja wa Ulaya	União Europeia
Rhône-Alpes	Ródano-Alpes
Mwanamke	Mulher
Sofia	Sófia
Ushairi	Poesia
Virusi za kompyuta	Vírus de computador
Milano	Milão
Arthur Rimbaud	Arthur Rimbaud
Torino	Turim
Mkundu	Ânus
Kwapa	Axila
Limau	Limão
Ndizi	Banana
666	666
Ua	Flor
Mfereji wa Mariana	Fossa das Marianas
Vladimir Vysotsky	Vladimir Vysotsky
Everest (mlima)	Monte Everest
Anatomia	Anatomia
Jiji	Cidade
Napoleon Bonaparte	Napoleão Bonaparte
Nyota	Estrela
Vesuvio	Vesúvio
Jua	Sol
Mbingu	Céu
Louis Pasteur	Louis Pasteur
Mwaka wa nuru	Ano-luz
Victor Hugo	Victor Hugo
Australia na Pasifiki	Oceania
Riadha	Atletismo
Mfumo wa jua na sayari zake	Sistema Solar
Bahari ya Baltiki	Mar Báltico
Trieste	Trieste
