Afrika	África
Japana	Japão
Norvezy	Noruega
Irlanda	República da Irlanda
Espaina	Espanha
Etazonia	Estados Unidos
Belzika	Bélgica
Loksemborga	Luxemburgo
Tany	Terra
Fiainana	Vida
Olombelona	Homo sapiens
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Paul Otlet	Paul Otlet
Stanley Kubrick	Stanley Kubrick
Finlandy	Finlândia
Soeda	Suécia
Danmarka	Dinamarca
Polonia	Polónia
Litoania	Lituânia
Italia	Itália
Soisa	Suíça
Aotrisy	Áustria
Grisy	Grécia
Torkia	Turquia
Labiera	Cerveja
Pôrtogaly	Portugal
Eoropa	Europa
Azia	Ásia
Amerika Avaratra	América do Norte
Antartika	Antártida
Wikipedia	Wikipédia
PHP	PHP
New York	Nova Iorque
Washington D.C	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles	Los Angeles
Solosaina	Computador
Internet	Internet
Barack Obama	Barack Obama
MediaWiki	MediaWiki
London	Londres
Kairo	Cairo
Alexandria, Virginia	Alexandria (Virgínia)
Paoma	Maçã
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Meksika	México
Ranomasimbe Atlantika	Oceano Atlântico
Ranomasimbe Pasifika	Oceano Pacífico
Kalifornia	Califórnia
Boston, Massachusetts	Boston
Janoary	Janeiro
Febroary	Fevereiro
Martsa	Março
Mars (fajiry)	Marte (planeta)
Kenia	Quénia
Etiopia	Etiópia
Ghana	Gana
Aprily	Abril
Mey	Maio
Jiona	Junho
Jolay	Julho
Aogositra	Agosto
Septambra	Setembro
Oktobra	Outubro
Novambra	Novembro
Desambra	Dezembro
Frantsa	França
Fiteny esperanto	Esperanto
Alika	Canis lupus familiaris
Fanjakana Mitambatra	Reino Unido
Saka	Gato
Repoblika Entim-bahoakan'i Sina	República Popular da China
Fiteny frantsay	Língua francesa
Wikibolana	Wikcionário
Hazandrano	Peixe
Alkôla	Bebida alcoólica
Brazila	Brasil
François Hollande	François Hollande
Rosia	Rússia
Efa-joro	Quadrado
Ranomasina Mainty	Mar Negro
Pi	Pi
Manga	Manga (fruta)
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo (cidade)
Québec	Quebec
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia
Jimmy Wales	Jimmy Wales
Alemaina	Alemanha
Belarosia	Bielorrússia
Fiteny alemana	Língua alemã
Islandy	Islândia
Estonia	Estónia
David Cameron	David Cameron
Fiaramanidina	Avião
Tsiefa	Infinito
Stephen Harper	Stephen Harper
George Bush	George W. Bush
Latvia	Letónia
Okraina	Ucrânia
Tsekia	República Checa
Silaovakia	Eslováquia
Silaovenia	Eslovénia
Vilnius	Vilnius
Romania	Roménia
Biolgaria	Bulgária
Roma	Roma
Masedonia	República da Macedónia
Albania	Albânia
Groenlanda	Gronelândia
Krôasia	Croácia
Bosnia sy Herzegovina	Bósnia e Herzegovina
Azerbaijana	Azerbaijão
Andora	Andorra
Repoblikan'i Kipra	Chipre
Jeorjia	Geórgia
Kazakstàna	Cazaquistão
Malta	Malta
Monakô	Mónaco
Montenegro	Montenegro
San Marino	San Marino
Brussel	Cidade de Bruxelas
Kioba	Cuba
Belizy	Belize
Barbady	Barbados
Antso	Comunicações sem fio
Indonezia	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Fiteny tiorka	Língua turca
Afrika Atsimo	África do Sul
Aljeria	Argélia
Varsôvia	Varsóvia
Rano	Água
Hazo	Madeira
Tours	Tours
Claude Monet	Claude Monet
Silia	Chile
El Greco	El Greco
Jesoa	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileu Galilei
Merkiora	Mercúrio (planeta)
Tantara	História
Apple	Apple
Venosy	Vénus (planeta)
Fiteny	Linguagem
Didy jadona	Ditadura
Vondron-kintana	Galáxia
Uranus	Urano (planeta)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Hainkintana	Astronomia
Singapaoro	Singapura
Siansa	Ciência
Montréal	Montreal
Rindrankajy malalaka	Software livre
Quimper	Quimper
La Flèche	La Flèche
Liechtenstein	Liechtenstein
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Ady Lehibe Voalohany	Primeira Guerra Mundial
Ady Lehibe Faharoa	Segunda Guerra Mundial
Kolikoly	Corrupção
Augusto Pinochet	Augusto Pinochet
František Plánička	František Plánička
Ubuntu	Ubuntu
Skopje	Escópia
Linux	Linux
Bob Dylan	Bob Dylan
Fanisana	Matemática
U2	U2
Fiteny latina	Língua latina
Armenia	Arménia
Jenna Jameson	Jenna Jameson
Serbia	Sérvia
Volana	Lua
Aostralia	Austrália
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Fizika	Física
Arjentina	Argentina
Fifandraisan-davitra	Telecomunicações
Però	Peru
Biolojia	Biologia
Korea Avaratra	Coreia do Norte
Kambodia	Camboja
Betsiboka	Rio Betsiboka
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Naturalis Historia	Naturalis Historia
Lech Wałęsa	Lech Wałęsa
Kodiarana	Roda
Fandriam-pahalemana	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Vondrona Eoropeana	União Europeia
Plôvdiv	Plovdiv
Philipp Ludwig von Seidel	Philipp Ludwig von Seidel
Tranonkala	World Wide Web
Sofia	Sófia
Derval	Derval (Loire-Atlantique)
Voina tao Chernobyl	Acidente nuclear de Chernobil
Arthur Rimbaud	Arthur Rimbaud
Tay	Fezes
Fory	Ânus
Charles Baudelaire	Charles Baudelaire
