Aprika	África
Siapan	Japão
Saut Amerika	América do Sul
Nowe	Noruega
Inglan	Inglaterra
Skotlan	Escócia
Wels	País de Gales
Noten Aialan	Irlanda do Norte
Ripablik bilong Aialan	República da Irlanda
Hangari	Hungria
Spen	Espanha
Ol Yunaitet Stet	Estados Unidos
Beljiam	Bélgica
Giraun	Terra
Pinlan	Finlândia
Suwidan	Suécia
Denmak	Dinamarca
Polan	Polónia
Lituwenia	Lituânia
Itali	Itália
Suwisalan	Suíça
Ostria	Áustria
Gris	Grécia
Teki	Turquia
Posugol	Portugal
Yurop	Europa
Esia	Ásia
Not Amerika	América do Norte
Wikipedia	Wikipédia
Ol Nitelan	Países Baixos
Niu Yok Siti	Nova Iorque
Wasington DC	Washington, D.C.
Berlin	Berlim
Berne	Berna
Intanet	Internet
Barack Obama	Barack Obama
Landen	Londres
Kairo	Cairo
Paris	Paris
Meksiko	México
Solwara Atlantik	Oceano Atlântico
Solwara Pasifik	Oceano Pacífico
Mande	Segunda-feira
Janueri	Janeiro
Februeri	Fevereiro
Mas	Março
Epril	Abril
Me	Maio
Jun	Junho
Julai	Julho
Ogas	Agosto
Septemba	Setembro
Oktoba	Outubro
Novemba	Novembro
Disemba	Dezembro
Tunde	Terça-feira
Trinde	Quarta-feira
Fonde	Quinta-feira
Fraide	Sexta-feira
Sarere	Sábado
Sande	Domingo
Frens	França
Esperanto	Esperanto
Yunaitet Kingdom	Reino Unido
Ol Manmeri Ripablik bilong Saina	República Popular da China
Tok Frens	Língua francesa
Wiktionary	Wikcionário
Rasia	Rússia
San Paulu	São Paulo (cidade)
Siamani	Alemanha
Belaras	Bielorrússia
Tok Jeman	Língua alemã
Aislan	Islândia
God	Deus
Estonia	Estónia
George Walker Bush	George W. Bush
Latvia	Letónia
Yukren	Ucrânia
Sek Ripablik	República Checa
Slovakia	Eslováquia
Vilnius	Vilnius
Romenia	Roménia
Balgeria	Bulgária
Rom	Roma
Albenia	Albânia
Greenland	Gronelândia
Krowesia	Croácia
Azerbaijan	Azerbaijão
Andora	Andorra
Saipras	Chipre
San Marino	San Marino
Brussels	Cidade de Bruxelas
Indonisia	Indonésia
Saut Aprika	África do Sul
Woso	Varsóvia
Tok Aislan	Língua islandesa
Jisas	Jesus
Histori	História
Tokples	Linguagem
Yurenes (planet)	Urano (planeta)
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomia
Ubuntu	Ubuntu
Szczecin	Estetino
Ol matematik	Matemática
U2	U2
Tok Latin	Língua latina
Armenia	Arménia
Sebia	Sérvia
Mun (i stap long heven)	Lua
Ostrelia	Austrália
Save long laip	Biologia
Not Koria	Coreia do Norte
Islam	Islão
Lyon	Lyon
Sofia	Sófia
Banana	Banana
San	Sol
Osenia	Oceania
Wikimedia Commons	Wikimedia Commons
Buk	Livro
De	Dia
Yia	Ano
Oslo	Oslo
Katowice	Katowice
Planet	Planeta
Lille	Lille
Mosko	Moscovo
Tok Itali	Língua italiana
Niu Silan	Nova Zelândia
India	Índia
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Solomon Ailans	Ilhas Salomão
Vanuatu	Vanuatu
Papua Niugini	Papua-Nova Guiné
Nauru	Nauru
Ol Masol Ailan	Ilhas Marshall
Kiribas	Kiribati
Fiji	Fiji
Abus	Animalia
At	Arte
Budisim	Budismo
Sayor	Plantae
Irak	Iraque
Israel	Israel
Panama	Panamá
Yemen	Iémen
Tok Polan	Língua polaca
Amerika (Kontinen)	América
Malaysia	Malásia
Platon	Platão
Ripablik bilong Saina	República da China
Aristoteles	Aristóteles
Tailan	Tailândia
Vietnam	Vietname
Saut Koria	Coreia do Sul
Socrates	Sócrates
Bhutan	Butão
Brunai	Brunei
Albert Einstein	Albert Einstein
Yelo (kala)	Amarelo
Beijing	Pequim
Gabon	Gabão
Gandi	Mahatma Gandhi
Lesoto	Lesoto
Naijiria	Nigéria
Senegal	Senegal
Sierra Leone	Serra Leoa
Julius Caesar	Júlio César
Save long giraun	Geografia
Kala	Cor
Blu (kala)	Azul
Bill Clinton	Bill Clinton
Yerusalem	Jerusalém
Kolorado	Colorado
Chicago	Chicago
Tok Spen	Língua castelhana
Mani	Dinheiro
Uetersen	Uetersen
Augustus Caesar	Augusto
Trajan	Trajano
Tokyo	Tóquio
Bagdad	Bagdá
Stockholm	Estocolmo
Dublin	Dublin
Reykjavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapeste
Katolik	Catolicismo
Baibel	Bíblia
Ho Chi Minh City	Cidade de Ho Chi Minh
Tru Jisas Lotu	Verdadeira Igreja de Jesus
Tokples Inglis	Língua inglesa
Andorra la Vella	Andorra-a-Velha
Kuala Lumpur	Kuala Lumpur
Taipei	Taipé
Đồng Hới	Dong Hoi
Concepción	Concepción (Chile)
Ottawa	Ottawa
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
