Afrik	África
Bob Marley	Bob Marley
Fizik	Física
Ajantin	Argentina
Telekominikasyon	Telecomunicações
Pewou	Peru
Biyoloji	Biologia
Kore dinò	Coreia do Norte
Kanbòdj	Camboja
Dinozò	Dinossauros
Islamis	Islão
Kurów (komin)	Comuna de Kurów
Lyoubyana	Liubliana
Etid plant	Botânica
Rou	Roda
Lapè	Paz
Lyon (vil)	Lyon
Inyon Ewopeyèn	União Europeia
Philipp Ludwig von Seidel	Philipp Ludwig von Seidel
Fanm	Mulher
Sofia	Sófia
Zanmi	Amizade
Anis (anatomi)	Ânus
Sitron	Limão
Bannann	Banana
666 (almanak jilyen)	666
Flè	Flor
Vil	Cidade
Napoléon Bonaparte	Napoleão Bonaparte
Etwal	Estrela
Solèy	Sol
Syèl	Céu
Ane-limyè	Ano-luz
Victor Hugo	Victor Hugo
Oseyani	Oceania
Atletis	Atletismo
Sistèm solè	Sistema Solar
Idwojèn	Hidrogénio
Elyòm	Hélio
Lityòm	Lítio
Berilyòm	Berílio
Liv (pou li)	Livro
Jou (Tan)	Dia
Timò oryantal	Timor-Leste
Nwit	Noite
Lane	Ano
Syèk	Século
Oslo	Oslo
Twou nwa	Buraco negro
Lisbòn	Lisboa
Ichiro Suzuki	Ichiro Suzuki
Kabòn	Carbono
Azòt	Azoto
Oksijèn	Oxigénio
Planèt	Planeta
Mizik	Música
Tèmomèt	Termômetro
Moskou	Moscovo
Fliyò	Flúor
Neyon	Néon
Saint-Pétersbourg	São Petersburgo
Tchad	Chade
Sodyòm	Sódio
Nò	Norte
Manyezyòm	Magnésio
Aliminyòm	Alumínio
Nouvèl Zelann	Nova Zelândia
Sid	Sul
End	Índia
Silisyòm	Silício
Fransyòm	Frâncio
Touvalou	Tuvalu
Fosfò	Fósforo
André-Marie Ampère	André-Marie Ampère
Fè	Ferro
Tonga	Tonga
Lwès	Oeste
Alessandro Volta	Alessandro Volta
Souf	Enxofre
Samoa	Samoa
Lès	Leste
Salomon	Ilhas Salomão
Vanwatou	Vanuatu
Molière	Molière
Klò	Cloro
Papwazi-Nouvèl-Gine	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Palao	Palau
Agon	Árgon
Naorou	Nauru
Mikwonezi (peyi)	Estados Federados da Micronésia
Potasyòm	Potássio
Kalsyòm	Cálcio
Plon	Chumbo
Machal	Ilhas Marshall
Kiribès	Kiribati
Mongoli	Mongólia
Fidji	Fiji
Skandyòm	Escândio
Titàn	Titânio
Venezwela	Venezuela
Echèk	Xadrez
Vanadyòm	Vanádio
Mèn	Maine
Kwòm	Crômio
Cheval	Equus ferus caballus
Amstèdam	Amesterdão
Zam	Arma
Zannimo	Animalia
Sirinam	Suriname
Manganèz	Manganês
Paragwe	Paraguai
Giyàn	Guiana
La (aktivite)	Arte
Ekwatè (peyi)	Equador
Kolonbi	Colômbia
Nikèl	Níquel
Frèz	Morangueiro
Boudis	Budismo
Bolivi	Bolívia
Kwiv	Cobre
Trinidad ak Tobago	Trinidad e Tobago
Plant	Plantae
Sen Vensan ak Grenadin	São Vicente e Granadinas
Zenk	Zinco
Nou Anpchi	Nova Hampshire
Sent Lisi	Santa Lúcia
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	São Cristóvão e Nevis
Chanpiyon	Fungi
Jamayik	Jamaica
Grenad	Granada (país)
Masachosèt	Massachusetts
Gwatemala	Guatemala
Google chrome	Google Chrome
Bahamas	Bahamas
Konèktikòt	Connecticut
Antigwa ak Babouda	Antígua e Barbuda
Awayi	Havaí
Ondiras	Honduras
Dominik	Dominica
Dominikani	República Dominicana
Kochon	Sus domesticus
Aktik	Oceano Ártico
Ayiti	Haiti
Salvadò	El Salvador
Iran	Irão
Irak	Iraque
Alaska	Alasca
Kostarika	Costa Rica
Izrayèl	Israel
Panama (peyi)	Panamá
Yemèn	Iémen
Viris	Vírus
Jòdani	Jordânia
Nikaragwa	Nicarágua
Florid	Flórida
Kirgistan	Quirguistão
Arizona	Arizona
Kowet	Kuwait
Laos	Laos
Liban	Líbano
Oregon	Oregon
Maldiv	Maldivas
Amerik	América
Youta	Utah
Malezi	Malásia
Bimani	Myanmar
Nepal	Nepal
Omàn	Omã
Pakistan	Paquistão
Katar	Catar
Tenis	Ténis
Arabi Sawoudit	Arábia Saudita
Srilanka	Sri Lanka
Siri	Síria
Platon	Platão
Galyòm	Gálio
Tadjikistan	Tajiquistão
Jèmanyòm	Germânio
Aristotle	Aristóteles
Tayilann	Tailândia
Asenik	Arsênio
Tirkmenistan	Turquemenistão
Selenyòm	Selênio
Iridyòm	Irídio
Emira Arab Ini	Emirados Árabes Unidos
Bwòm	Bromo
Platin	Platina
Vyetnam	Vietname
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	Coreia do Sul
Les Simpson	Os Simpsons
Kripton	Crípton
Afganistan	Afeganistão
Lò	Ouro
Bangladèch	Bangladesh
Mali	Mali
Angola	Angola
Boutan	Butão
Brouney	Brunei
Tanzani	Tanzânia
Mèki (eleman chimik)	Mercúrio (elemento químico)
Filipin	Filipinas
Repiblik santafrik	República Centro-Africana
Talyòm	Tálio
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estwontyòm	Estrôncio
Nakotik	Narcótico
Bismit	Bismuto
Jòn	Amarelo
Togo	Togo
Donald Tusk	Donald Tusk
Tinizi	Tunísia
John Bardeen	John Bardeen
Zanbi	Zâmbia
Zimbabwe	Zimbabwe
Peken	Pequim
Lis tout lis yo	Lista de listas
Benen	Benim
Botswana	Botswana
Boukinafaso	Burkina Faso
Bouroundi	Burundi
Komò	Comores
Kongo (Brazavil)	República do Congo
Kongo (Kinchasa)	República Democrática do Congo
San Antonio (Teksas)	San Antonio
Djibouti (peyi)	Djibouti
Polonyòm	Polônio
Gine ekwateryal	Guiné Equatorial
Eritre	Eritreia
Niou Deli	Nova Deli
Tbilisi	Tbilisi
Andrei Dmitrievich Sakharov	Andrei Sakharov
Gabon	Gabão
Mohandas Karamchand Gandhi	Mahatma Gandhi
Ganbi	Gâmbia
Gine	Guiné
Gine-Bisao	Guiné-Bissau
Kòt divwa	Costa do Marfim
Kamewoun	Camarões
Kap Vè	Cabo Verde
Lezoto	Lesoto
Liberya	Libéria
Libi	Líbia
Madagaskar	Madagáscar
Malawi	Malawi
Moritani	Mauritânia
Moris	Maurícia
Mawòk	Marrocos
Mozanbik	Moçambique
Namibi	Namíbia
Nijè	Níger
Nijerya	Nigéria
Ouganda	Uganda
Rwanda	Ruanda
Zikonyòm	Zircônio
Sen Tome ak Pwènsip	São Tomé e Príncipe
Senegal	Senegal
Sechèl	Seicheles
Syera Leòn	Serra Leoa
Somali	Somália
Nyobyòm	Nióbio
Julius Caesar	Júlio César
Soudan	Sudão
Swazilann	Suazilândia
Lakansyèl	Arco-íris
Tèknesyòm	Tecnécio
Metabolis	Metabolismo
Evolisyon	Evolução
Aleksand Manzoni	Alessandro Manzoni
ONI	Organização das Nações Unidas
Jewoloji	Geologia
Jewografi	Geografia
Kè	Coração
Sèvo	Cérebro
Po	Pele
Koulè	Cor
Prag	Praga
Rodyòm	Ródio
Ble (koulè)	Azul
Paladyòm	Paládio
Ajan (metal)	Prata
Kadmyòm	Cádmio
Endyòm	Índio (elemento químico)
Eten	Estanho
Iranyòm	Urânio
Antimwàn	Antimônio
Plitonyòm	Plutónio
Yòd	Iodo
Neptinyòm	Neptúnio
Sezyòm	Césio
Baryòm	Bário
Toryòm	Tório
Aktiniòm	Actínio
Tantal	Tântalo (elemento químico)
Radyòm	Rádio (elemento químico)
Radon	Rádon
Alzas	Alsácia
Michigàn	Michigan
Pòtoriko	Porto Rico
Usain Bolt	Usain Bolt
Ilinwa	Illinois
Dakota dinò	Dakota do Norte
Dakota disid	Dakota do Sul
Montana	Montana
Wayoming	Wyoming
Aydawo	Idaho
Wachintòn (eta)	Washington
Nevada	Nevada
Endyen	Oceano Índico
Bòryòm	Bóhrio
Asyòm	Hássio
Kolorado	Colorado
Jam	Doce (alimento)
Kategori:Rasin	Categoria:Conteúdo
Blaise Pascal	Blaise Pascal
Chikago	Chicago
The Beatles	The Beatles
Livè	Inverno
Prentan	Primavera
Lete	Verão
Lotòn	Outono
Ekinòks otòn	Equinócio
Panyòl	Língua castelhana
Montevideo	Montevidéu
Pittsburgh, Pennsilvani	Pittsburgh
Philadelphia, Pennsilvani	Filadélfia
Daka	Daca
Areye	Aranha
Atwopòd	Artrópode
Islamabad	Islamabad
Fwi	Fruto
Makak	Macaco
Lajan	Dinheiro
Vijini	Virgínia
Vijini de Lwès	Virgínia Ocidental
Nou Yòk (eta)	Nova Iorque (estado)
Seryòm	Cério
Rod Aylann	Rhode Island
Neyodim	Neodímio
Ensèk	Insetos
Merilann	Maryland
Delawè	Delaware
Lenine	Lenin
Ewòpyòm	Európio
Owayo (eta)	Ohio
Pènsilvani	Pensilvânia
Uetersen	Uetersen
Nou Jèze	Nova Jérsia
Indiana	Indiana
Machin	Automóvel
Djòdji	Geórgia (Estados Unidos)
Zagreb	Zagreb
Teksas	Texas
Karolin dinò	Carolina do Norte
Karolin disid	Carolina do Sul
Manyl	Manila
Bwènozè	Buenos Aires
Meksiko	Cidade do México
Tokyo	Tóquio
La Paz	La Paz
Zannanna	Ananás
Misisipi (eta)	Mississippi
Misisipi (rivyè)	Rio Mississippi
Tenèsi	Tennessee
Abou Dabi	Abu Dhabi
Astana	Astana
Nou Meksiko	Novo México
Atèn	Atenas
Minesota	Minnesota
Bagdad	Bagdá
Karakas	Caracas
Wiskonnsenn	Wisconsin
Ayowa	Iowa
Nebraska	Nebraska
Siwdad	Cidade da Guatemala
Kènsas	Kansas
La Avàn	Havana
Misouri (eta)	Missouri
Georg Ohm	Georg Simon Ohm
Lwiziana	Luisiana
Luigi Galvani	Luigi Galvani
Kèntòki	Kentucky
Akennsas (eta)	Arkansas
Neil Armstrong	Neil Armstrong
Oklawoma	Oklahoma
Volebòl	Voleibol
Vyèn	Viena
Kopènag	Copenhaga
Stokolm	Estocolmo
Èlzinki	Helsínquia
Diblin	Dublin
Rèkyavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Boudapès	Budapeste
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Lantàn	Lantânio
Samaryòm	Samário
Gadolinyòm	Gadolínio
Liksanbou (kapital)	Luxemburgo (cidade)
Vadouz	Vaduz
Bib	Bíblia
Sen Maren (kapital)	San Marino (cidade)
Phnom Penh	Phnom Penh
Hô-Chi-Minh-Vil	Cidade de Ho Chi Minh
Litesyòm	Lutécio
Anòy	Hanói
Legliz de Vre Jezi	Verdadeira Igreja de Jesus
Angle	Língua inglesa
Bangkok	Banguecoque
Andò-la-Vyèy	Andorra-a-Velha
Kouala Loumpou	Kuala Lumpur
Taypè	Taipé
Amerisyòm	Amerício
Dong Hoi	Dong Hoi
Concepción, Chili	Concepción (Chile)
Bèkelyòm	Berquélio
Kalifònyòm	Califórnio
Achtaynyòm	Einstênio
Fèmyòm	Férmio
Kyèv	Kiev
Nobèlyòm	Nobélio
Otawa	Ottawa
Erevàn	Erevan
Końskowola	Końskowola
Kartoum	Cartum
2000 (almanak gregoryen)	2000
2003 (almanak gregoryen)	2003
2002 (almanak gregoryen)	2002
2001 (almanak gregoryen)	2001
2012 (almanak gregoryen)	2012
2011 (almanak gregoryen)	2011
2010 (almanak gregoryen)	2010
2009 (almanak gregoryen)	2009
Dyoksid kabòn	Dióxido de carbono
2008 (almanak gregoryen)	2008
2004 (almanak gregoryen)	2004
2005 (almanak gregoryen)	2005
Dragon Ball	Dragon Ball
2006 (almanak gregoryen)	2006
2007 (almanak gregoryen)	2007
Monoksid kabòn	Monóxido de carbono
1900 (almanak gregoryen)	1900
1901 (almanak gregoryen)	1901
1902 (almanak gregoryen)	1902
1903 (almanak gregoryen)	1903
1904 (almanak gregoryen)	1904
1905 (almanak gregoryen)	1905
1907 (almanak gregoryen)	1907
1906 (almanak gregoryen)	1906
1908 (almanak gregoryen)	1908
1909 (almanak gregoryen)	1909
1992 (almanak gregoryen)	1992
1991 (almanak gregoryen)	1991
1990 (almanak gregoryen)	1990
1993 (almanak gregoryen)	1993
1994 (almanak gregoryen)	1994
1995 (almanak gregoryen)	1995
1996 (almanak gregoryen)	1996
1910 (almanak gregoryen)	1910
1911 (almanak gregoryen)	1911
1912 (almanak gregoryen)	1912
1913 (almanak gregoryen)	1913
1914 (almanak gregoryen)	1914
1915 (almanak gregoryen)	1915
1916 (almanak gregoryen)	1916
1997 (almanak gregoryen)	1997
1998 (almanak gregoryen)	1998
1999 (almanak gregoryen)	1999
1917 (almanak gregoryen)	1917
1918 (almanak gregoryen)	1918
Koulèv	Serpente
1e janvye	1 de janeiro
2 janvye	2 de janeiro
1920 (almanak gregoryen)	1920
3 janvye	3 de janeiro
1919 (almanak gregoryen)	1919
1921 (almanak gregoryen)	1921
1922 (almanak gregoryen)	1922
4 janvye	4 de janeiro
1923 (almanak gregoryen)	1923
1924 (almanak gregoryen)	1924
5 janvye	5 de janeiro
Arica	Arica
6 janvye	6 de janeiro
Elektwon	Elétron
7 janvye	7 de janeiro
8 janvye	8 de janeiro
9 janvye	9 de janeiro
10 janvye	10 de janeiro
11 janvye	11 de janeiro
12 janvye	12 de janeiro
13 janvye	13 de janeiro
14 janvye	14 de janeiro
15 janvye	15 de janeiro
16 janvye	16 de janeiro
17 janvye	17 de janeiro
18 janvye	18 de janeiro
19 janvye	19 de janeiro
20 janvye	20 de janeiro
21 janvye	21 de janeiro
22 janvye	22 de janeiro
23 janvye	23 de janeiro
24 janvye	24 de janeiro
25 janvye	25 de janeiro
Minsk	Minsk
26 janvye	26 de janeiro
Microsoft	Microsoft
27 janvye	27 de janeiro
28 janvye	28 de janeiro
29 janvye	29 de janeiro
30 janvye	30 de janeiro
31 janvye	31 de janeiro
Pwoton	Próton
2 desanm	2 de dezembro
1e desanm	1 de dezembro
3 desanm	3 de dezembro
7 desanm	7 de dezembro
5 desanm	5 de dezembro
8 desanm	8 de dezembro
10 desanm	10 de dezembro
6 desanm	6 de dezembro
9 desanm	9 de dezembro
4 desanm	4 de dezembro
1e fevriye	1 de fevereiro
2 fevriye	2 de fevereiro
3 fevriye	3 de fevereiro
Kurów (vil)	Kurów
4 fevriye	4 de fevereiro
5 fevriye	5 de fevereiro
6 fevriye	6 de fevereiro
7 fevriye	7 de fevereiro
8 fevriye	8 de fevereiro
9 fevriye	9 de fevereiro
10 fevriye	10 de fevereiro
Chimi	Química
14 fevriye	14 de fevereiro
13 fevriye	13 de fevereiro
15 fevriye	15 de fevereiro
11 fevriye	11 de fevereiro
12 fevriye	12 de fevereiro
19 fevriye	19 de fevereiro
17 fevriye	17 de fevereiro
16 fevriye	16 de fevereiro
18 fevriye	18 de fevereiro
20 fevriye	20 de fevereiro
Netwon	Nêutron
21 fevriye	21 de fevereiro
22 fevriye	22 de fevereiro
23 fevriye	23 de fevereiro
24 fevriye	24 de fevereiro
25 fevriye	25 de fevereiro
26 fevriye	26 de fevereiro
27 (almanak jilyen)	27
27 fevriye	27 de fevereiro
28 fevriye	28 de fevereiro
11 desanm	11 de dezembro
29 fevriye	29 de fevereiro
12 desanm	12 de dezembro
13 desanm	13 de dezembro
14 desanm	14 de dezembro
15 desanm	15 de dezembro
2 mas	2 de março
3 mas	3 de março
5 mas	5 de março
1e mas	1 de março
7 mas	7 de março
8 mas	8 de março
4 mas	4 de março
10 mas	10 de março
11 mas	11 de março
6 mas	6 de março
13 mas	13 de março
9 mas	9 de março
12 mas	12 de março
15 mas	15 de março
14 mas	14 de março
16 desanm	16 de dezembro
17 desanm	17 de dezembro
16 mas	16 de março
17 mas	17 de março
18 mas	18 de março
19 mas	19 de março
1989 (almanak gregoryen)	1989
1988 (almanak gregoryen)	1988
20 mas	20 de março
1987 (almanak gregoryen)	1987
1986 (almanak gregoryen)	1986
1985 (almanak gregoryen)	1985
1984 (almanak gregoryen)	1984
21 mas	21 de março
1983 (almanak gregoryen)	1983
22 mas	22 de março
1982 (almanak gregoryen)	1982
1981 (almanak gregoryen)	1981
18 desanm	18 de dezembro
1980 (almanak gregoryen)	1980
23 mas	23 de março
Moukdicho	Mogadíscio
19 desanm	19 de dezembro
24 mas	24 de março
25 mas	25 de março
20 desanm	20 de dezembro
26 mas	26 de março
27 mas	27 de março
28 mas	28 de março
29 mas	29 de março
30 mas	30 de março
31 mas	31 de março
Naso	Nassau (Bahamas)
Sanaa	Saná
1970 (almanak gregoryen)	1970
1971 (almanak gregoryen)	1971
1972 (almanak gregoryen)	1972
1973 (almanak gregoryen)	1973
1974 (almanak gregoryen)	1974
1975 (almanak gregoryen)	1975
1976 (almanak gregoryen)	1976
1977 (almanak gregoryen)	1977
1978 (almanak gregoryen)	1978
1979 (almanak gregoryen)	1979
1969 (almanak gregoryen)	1969
Tarawa	Tarawa
Benwa XVI	Papa Bento XVI
15 avril	15 de abril
13 avril	13 de abril
12 avril	12 de abril
14 avril	14 de abril
11 avril	11 de abril
10 avril	10 de abril
8 avril	8 de abril
9 avril	9 de abril
7 avril	7 de abril
6 avril	6 de abril
5 avril	5 de abril
4 avril	4 de abril
3 avril	3 de abril
1e avril	1 de abril
2 avril	2 de abril
16 avril	16 de abril
17 avril	17 de abril
18 avril	18 de abril
19 avril	19 de abril
20 avril	20 de abril
21 avril	21 de abril
22 avril	22 de abril
23 avril	23 de abril
24 avril	24 de abril
25 avril	25 de abril
26 avril	26 de abril
27 avril	27 de abril
28 avril	28 de abril
29 avril	29 de abril
30 avril	30 de abril
Satelit	Satélite natural
1e me	1 de maio
2 me	2 de maio
3 me	3 de maio
4 me	4 de maio
5 me	5 de maio
6 me	6 de maio
7 me	7 de maio
8 me	8 de maio
9 me	9 de maio
10 me	10 de maio
11 me	11 de maio
12 me	12 de maio
13 me	13 de maio
14 me	14 de maio
15 me	15 de maio
16 me	16 de maio
17 me	17 de maio
18 me	18 de maio
19 me	19 de maio
20 me	20 de maio
21 me	21 de maio
22 me	22 de maio
23 me	23 de maio
24 me	24 de maio
25 me	25 de maio
26 me	26 de maio
27 me	27 de maio
28 me	28 de maio
29 me	29 de maio
30 me	30 de maio
31 me	31 de maio
21 desanm	21 de dezembro
14 jen	14 de junho
15 jen	15 de junho
13 jen	13 de junho
10 jen	10 de junho
7 jen	7 de junho
11 jen	11 de junho
9 jen	9 de junho
12 jen	12 de junho
6 jen	6 de junho
8 jen	8 de junho
5 jen	5 de junho
3 jen	3 de junho
2 jen	2 de junho
1e jen	1 de junho
4 jen	4 de junho
22 desanm	22 de dezembro
1968 (almanak gregoryen)	1968
1967 (almanak gregoryen)	1967
1966 (almanak gregoryen)	1966
1965 (almanak gregoryen)	1965
1964 (almanak gregoryen)	1964
16 jen	16 de junho
30 jen	30 de junho
29 jen	29 de junho
28 jen	28 de junho
26 jen	26 de junho
25 jen	25 de junho
22 jen	22 de junho
27 jen	27 de junho
24 jen	24 de junho
20 jen	20 de junho
23 jen	23 de junho
19 jen	19 de junho
18 jen	18 de junho
21 jen	21 de junho
17 jen	17 de junho
23 desanm	23 de dezembro
15 jiyè	15 de julho
13 jiyè	13 de julho
12 jiyè	12 de julho
10 jiyè	10 de julho
9 jiyè	9 de julho
14 jiyè	14 de julho
8 jiyè	8 de julho
7 jiyè	7 de julho
6 jiyè	6 de julho
5 jiyè	5 de julho
2 jiyè	2 de julho
4 jiyè	4 de julho
3 jiyè	3 de julho
1e jiyè	1 de julho
11 jiyè	11 de julho
24 desanm	24 de dezembro
31 jiyè	31 de julho
30 jiyè	30 de julho
29 jiyè	29 de julho
28 jiyè	28 de julho
27 jiyè	27 de julho
25 jiyè	25 de julho
24 jiyè	24 de julho
23 jiyè	23 de julho
26 jiyè	26 de julho
22 jiyè	22 de julho
19 jiyè	19 de julho
21 jiyè	21 de julho
20 jiyè	20 de julho
17 jiyè	17 de julho
18 jiyè	18 de julho
16 jiyè	16 de julho
Foutbòl	Futebol
25 desanm	25 de dezembro
1963 (almanak gregoryen)	1963
Lech Kaczynski	Lech Kaczyński
26 desanm	26 de dezembro
1962 (almanak gregoryen)	1962
14 out	14 de agosto
15 out	15 de agosto
13 out	13 de agosto
12 out	12 de agosto
11 out	11 de agosto
10 out	10 de agosto
8 out	8 de agosto
7 out	7 de agosto
9 out	9 de agosto
5 out	5 de agosto
4 out	4 de agosto
2 out	2 de agosto
3 out	3 de agosto
6 out	6 de agosto
1e out	1 de agosto
27 desanm	27 de dezembro
Madrid	Madrid
16 out	16 de agosto
29 out	29 de agosto
28 out	28 de agosto
30 out	30 de agosto
25 out	25 de agosto
26 out	26 de agosto
23 out	23 de agosto
27 out	27 de agosto
21 out	21 de agosto
20 out	20 de agosto
24 out	24 de agosto
18 out	18 de agosto
17 out	17 de agosto
22 out	22 de agosto
19 out	19 de agosto
31 out	31 de agosto
Michael Jackson	Michael Jackson
28 desanm	28 de dezembro
Bogota	Bogotá
Brazilia	Brasília
15 septanm	15 de setembro
14 septanm	14 de setembro
13 septanm	13 de setembro
12 septanm	12 de setembro
8 septanm	8 de setembro
11 septanm	11 de setembro
7 septanm	7 de setembro
10 septanm	10 de setembro
5 septanm	5 de setembro
4 septanm	4 de setembro
9 septanm	9 de setembro
2 septanm	2 de setembro
6 septanm	6 de setembro
1e septanm	1 de setembro
3 septanm	3 de setembro
29 desanm	29 de dezembro
Lima	Lima
30 septanm	30 de setembro
29 septanm	29 de setembro
28 septanm	28 de setembro
27 septanm	27 de setembro
26 septanm	26 de setembro
25 septanm	25 de setembro
Santyago	Santiago (Chile)
23 septanm	23 de setembro
22 septanm	22 de setembro
24 septanm	24 de setembro
21 septanm	21 de setembro
20 septanm	20 de setembro
18 septanm	18 de setembro
17 septanm	17 de setembro
19 septanm	19 de setembro
16 septanm	16 de setembro
Kito	Quito
30 desanm	30 de dezembro
Sik	Sucre
31 desanm	31 de dezembro
1e oktòb	1 de outubro
15 oktòb	15 de outubro
12 oktòb	12 de outubro
10 oktòb	10 de outubro
14 oktòb	14 de outubro
9 oktòb	9 de outubro
8 oktòb	8 de outubro
13 oktòb	13 de outubro
7 oktòb	7 de outubro
11 oktòb	11 de outubro
6 oktòb	6 de outubro
4 oktòb	4 de outubro
5 oktòb	5 de outubro
3 oktòb	3 de outubro
2 oktòb	2 de outubro
Asounsyòn	Assunção
Kabrit	Capra aegagrus hircus
Tibèf	Vitelo (animal)
31 oktòb	31 de outubro
30 oktòb	30 de outubro
29 oktòb	29 de outubro
28 oktòb	28 de outubro
26 oktòb	26 de outubro
25 oktòb	25 de outubro
24 oktòb	24 de outubro
27 oktòb	27 de outubro
22 oktòb	22 de outubro
23 oktòb	23 de outubro
20 oktòb	20 de outubro
21 oktòb	21 de outubro
19 oktòb	19 de outubro
17 oktòb	17 de outubro
16 oktòb	16 de outubro
18 oktòb	18 de outubro
15 novanm	15 de novembro
14 novanm	14 de novembro
13 novanm	13 de novembro
12 novanm	12 de novembro
11 novanm	11 de novembro
10 novanm	10 de novembro
7 novanm	7 de novembro
8 novanm	8 de novembro
9 novanm	9 de novembro
6 novanm	6 de novembro
