Afraga	África
1001	1001
1002	1002
1003	1003
1005	1005
1006	1006
1007	1007
1008	1008
1009	1009
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
1015	1015
1016	1016
1017	1017
1018	1018
1019	1019
1020	1020
1021	1021
1022	1022
1023	1023
1024	1024
1025	1025
1026	1026
1027	1027
1028	1028
1029	1029
1030	1030
1031	1031
1032	1032
1033	1033
1034	1034
1035	1035
1036	1036
1037	1037
1038	1038
1039	1039
1040	1040
1041	1041
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
1047	1047
1048	1048
1049	1049
1050	1050
1051	1051
1052	1052
1053	1053
1054	1054
1055	1055
1056	1056
1057	1057
1058	1058
1059	1059
1060	1060
1061	1061
1062	1062
1063	1063
1064	1064
1065	1065
1066	1066
Pelican	Pelicano
1067	1067
1068	1068
1069	1069
1070	1070
1071	1071
1072	1072
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
1080	1080
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1089	1089
1090	1090
1091	1091
1092	1092
1093	1093
1094	1094
1095	1095
1096	1096
1097	1097
1098	1098
1099	1099
1106	1106
1107	1107
1108	1108
1109	1109
1110	1110
Podolsk	Podolsk
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
1117	1117
1118	1118
1119	1119
1120	1120
Pàpa	Papa
1130	1130
1131	1131
Rafael Correa	Rafael Correa
1132	1132
1133	1133
1134	1134
C.B. Celtic	Celtic Football Club
1135	1135
C.B. Rangers	The Rangers Football Club
1136	1136
1137	1137
1138	1138
1139	1139
5	5
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
4	4
1145	1145
1146	1146
1147	1147
1148	1148
3	3
1149	1149
1150	1150
1151	1151
1152	1152
1153	1153
2	2
1154	1154
1155	1155
1156	1156
1157	1157
1158	1158
1159	1159
Bucharest	Bucareste
1160	1160
1161	1161
1162	1162
1163	1163
1164	1164
Louvre	Museu do Louvre
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
1170	1170
Buidheann neo-eisimeileachd na Porto Riko	Partido Independentista Portorriquenho
1171	1171
1172	1172
1173	1173
Tirana	Tirana
1174	1174
1175	1175
1176	1176
1177	1177
1178	1178
Motörhead	Motörhead
1179	1179
1180	1180
1181	1181
Asal	Equus africanus asinus
1182	1182
1928	1928
Abhainn Chluaidh	Rio Clyde
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
6	6
Seann Tiomnadh	Antigo Testamento
Josh Duhamel	Josh Duhamel
Nollaig	Natal
Cànanan Ròmanach	Línguas românicas
Bliadhna-leum	Ano bissexto
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Cànanan Innd-Eòrpach	Línguas indo-europeias
Breinigerberg	Breinigerberg
Muammar al-Gaddafi	Muammar al-Gaddafi
Tìgear	Tigre
Rìgh Juan Carlos I na Spàinne	Juan Carlos da Espanha
Francesco Totti	Francesco Totti
Bonnach-uighe	Omelete
Àrd-Dhiùcachd Hesse	Grão-Ducado de Hesse
Feldberger Seenlandschaft	Feldberger Seenlandschaft
Eideard VII	Eduardo VII do Reino Unido
Lugaidh	Arenicola marina
Spitzbergen	Spitsbergen
Fredericia	Fredericia
Lochlann	Escandinávia
A' Chàisg	Páscoa
Chişinău	Chișinău
Cànain Ghearmaineach	Línguas germânicas
Eòlas-comainn	Sociologia
Şalom	Şalom
Aibidil Eadar-nàiseanta Fogharach	Alfabeto fonético internacional
Oilthigh Phrinceton	Universidade de Princeton
Echidna	Tachyglossidae
Opossum	Didelphidae
Taidh-Bhàn (eilean)	Ilha Formosa
Aurora, Illinois	Aurora (Illinois)
New York	Nova Iorque (desambiguação)
Cruadhtan	Concreto
Co-chomharran an Domhain	Coordenadas geográficas
Rathad-iarainn	Ferrovia
Bròg	Sapato
Donald Trump	Donald Trump
Banca	Banco
Pàirce	Parque
Dùmhlachd-sluaigh	Densidade populacional
Èirinn	Irlanda (ilha)
Rosheim	Rosheim
Abertawe	Swansea
Roinn Eilbheiseach	Cantões da Suíça
Sneek	Sneek
1	1
A’ Chòrn	Cornualha
Bristol	Bristol
Wombat	Vombate
10	10
Nashville, Tennessee	Nashville (Tennessee)
20	20
Spinazzola	Spinazzola
30	30
40	40
9	9
7	7
8	8
Taylor Lautner	Taylor Lautner
Jeremy Renner	Jeremy Renner
12	12
Seòl-mara	Maré
Fiadh	Cervidae
Dèigh	Gelo
Ùrnaigh an Tighearna	Pai Nosso
Loch-uisge	Lago
Musée d'Orsay	Museu de Orsay
Corp-eòlas	Antropologia
930	930
13	13
985	985
1122	1122
981	981
939	939
Ulan Bator	Ulan Bator
Ernest Hemingway	Ernest Hemingway
Dùn Èideann	Edimburgo
Ashgabat	Asgabate
51	51
Eilean	Ilha
814	814
678	678
950	950
679	679
996	996
680	680
37	37
980	980
900	900
1129	1129
Chris Pine	Chris Pine
843	843
Lordi	Lordi
690	690
691	691
988	988
692	692
476	476
693	693
Marseille	Marselha
694	694
695	695
Uinnean	Cebola
696	696
697	697
698	698
Cànan Oifigeil	Língua oficial
699	699
700	700
Moshchena	Mostchena
701	701
702	702
Àrc-eòlas	Arqueologia
703	703
Tomàto	Tomate
704	704
705	705
George H. W. Bush	George H. W. Bush
706	706
68	68
89	89
707	707
708	708
709	709
11	11
710	710
711	711
Paltoga	Paltoga
712	712
Na Balcain	Bálcãs
713	713
714	714
Cànanan Slàbhach	Línguas eslavas
715	715
Dmitry Medvedev	Dmitri Medvedev
716	716
717	717
718	718
Entrena	Entrena
719	719
720	720
Pròsdanachas	Protestantismo
721	721
722	722
723	723
NASA	NASA
724	724
725	725
726	726
Atlanta	Atlanta
727	727
Benito Mussolini	Benito Mussolini
728	728
729	729
963	963
730	730
Podgorica	Podgorica
731	731
Lost	Lost (série de televisão)
962	962
732	732
733	733
997	997
734	734
972	972
735	735
955	955
901	901
736	736
737	737
936	936
738	738
953	953
902	902
739	739
15	15
740	740
14	14
741	741
742	742
17	17
743	743
958	958
744	744
500	500
745	745
150	150
746	746
880	880
747	747
748	748
749	749
Na Sopranos	The Sopranos
870	870
903	903
750	750
HBO	Home Box Office
751	751
Bermuda	Bermudas
752	752
Ceann	Cabeça
753	753
987	987
754	754
965	965
755	755
924	924
951	951
932	932
Wellington, Sealainn Nuadh	Wellington
Breatainn Mhòr	Grã-Bretanha
23	23
800	800
Jimmy Carter	Jimmy Carter
120	120
Laoidh Nàiseanta	Hino nacional
42	42
967	967
989	989
960	960
969	969
957	957
1124	1124
971	971
937	937
992	992
990	990
899	899
975	975
942	942
966	966
1128	1128
959	959
973	973
18	18
19	19
16	16
21	21
26	26
41	41
32	32
33	33
982	982
974	974
976	976
979	979
986	986
Dath nan sùilean	Cor dos olhos
919	919
998	998
995	995
977	977
1125	1125
Valletta	Valeta
934	934
200	200
876	876
875	875
810	810
929	929
882	882
1127	1127
940	940
889	889
844	844
912	912
838	838
984	984
874	874
38	38
43	43
127	127
954	954
39	39
24	24
79	79
61	61
104	104
29	29
102	102
866	866
Pàpa Iain XXIII	Papa João XXIII
839	839
622	622
918	918
100	100
Lila Downs	Lila Downs
961	961
570	570
632	632
Andrew Garfield	Andrew Garfield
946	946
835	835
884	884
859	859
832	832
849	849
877	877
Sìotà	Acinonyx jubatus
878	878
861	861
869	869
968	968
983	983
964	964
1121	1121
1123	1123
933	933
915	915
970	970
911	911
993	993
991	991
994	994
898	898
944	944
907	907
943	943
945	945
922	922
905	905
941	941
925	925
928	928
948	948
947	947
949	949
926	926
126	126
101	101
105	105
108	108
117	117
115	115
LaGrange County, Indiana	Condado de LaGrange
Gual	Carvão mineral
22	22
46	46
25	25
153	153
156	156
31	31
825	825
George Hamilton-Gordon, 4th Earl of Aberdeen	George Hamilton-Gordon, 4.º Conde de Aberdeen
John Barrowman	John Barrowman
Vancouver	Vancouver
Elkhart County, Indiana	Condado de Elkhart
Steuben County, Indiana	Condado de Steuben (Indiana)
LaPorte County, Indiana	Condado de LaPorte
301	301
116	116
886	886
330	330
860	860
842	842
165	165
871	871
893	893
203	203
909	909
222	222
931	931
938	938
917	917
160	160
28	28
Poll a' Ghrùthain	Liverpool
85	85
88	88
76	76
54	54
477	477
914	914
920	920
913	913
935	935
841	841
820	820
906	906
Bremen	Bremen
916	916
885	885
Gnìomhair	Verbo
168	168
Ficsean-saidheans	Ficção científica
60	60
47	47
836	836
112	112
854	854
862	862
879	879
887	887
770	770
817	817
864	864
863	863
868	868
855	855
818	818
837	837
845	845
Wangerooge	Wangerooge
166	166
Punnd Sasannach	Libra esterlina
Guernsey	Guernsey
Svalbard	Svalbard
Lon dubh	Turdus merula
Uair	Hora
Peasair	Pisum sativum
Beith	Bétula
2016	2016
Nowy Dwór Królewski	Nowy Dwór Królewski
Fàrothais	Língua feroesa
Sgoil-aimsir	Meteorologia
552	552
Joule	Joule
Corra-ghritheach	Garça-real-europeia
2019	2019
Hispaniola	Ilha de São Domingos
Harrisburg, Pennsylvania	Harrisburg
Da Lat	Da Lat
Uppsala	Uppsala
Göteborg	Gotemburgo
Còrnais	Língua córnica
2017	2017
2018	2018
Cànanan Ceilteach	Línguas celtas
6mh linn RC	Século VI a.C.
1ad linn RC	Século I a.C.
2na linn RC	Século II a.C.
Washington	Washington (desambiguação)
Pioghaid	Pega-rabuda
Neas bheag	Mustela nivalis
Comhachag	Coruja-das-torres
Aarhus	Aarhus
3mh linn RC	Século III a.C.
Brù-dhearg	Pisco-de-peito-ruivo
4mh linn RC	Século IV a.C.
Pocanach	Marsupiais
2020	2020
5mh linn RC	Século V a.C.
7mh linn RC	Século VII a.C.
Cumhachd	Potência
Neas mhòr	Arminho
8mh linn RC	Século VIII a.C.
Tunnag fhiadhaich	Pato-real
Theodor Mommsen	Theodor Mommsen
Fitheach	Corvus corax
Meanbh-bheò	Plâncton
Dràma	Drama
Atlantis	Atlântida
Breacan-beithe	Tentilhão
Leeuwarden	Leeuwarden
Curracag	Vanellus vanellus
Cadhag	Gralha-de-nuca-cinzenta
Breac an t-sìl	Alvéola-branca
Faidhbhile	Faia
Helsingborg	Helsingborg
Deargan-fraoich	Pintassilgo-comum
9mh linn RC	Século IX a.C.
10mh linn RC	Século X a.C.
Gobhlan-gaoithe	Hirundo rustica
Sgarbh	Corvo-marinho-de-faces-brancas
Sòrbais	Línguas sorábias
Funchal	Funchal
Mölnlycke	Mölnlycke
Bovidae	Bovídeos
Sjælland	Zelândia (Dinamarca)
600	600
St. Gallen	São Galo (cidade)
400	400
300	300
Aiseag	Balsa
Aiteann	Juniperus
1mh mìle-bliadhna RC	Primeiro milénio a.C.
Dreathan donn	Carriça
Kaikoura District	Kaikoura
2 mìle-bliadhna	Segundo milénio d.C.
1 mìle-bliadhna	Primeiro milénio d.C.
Rutland, Vermont	Rutland (Vermont)
Antalop	Antílope
Longyearbyen	Longyearbyen
Uiseag	Laverca
Hermann Hesse	Hermann Hesse
Cogadh 1812	Guerra anglo-americana de 1812
South Burlington, Vermont	South Burlington
Coileach-coille	Galinhola
Växjö	Växjö
Neòinean	Bellis perennis
Buidheag-bhealaidh	Escrevedeira-amarela
3mh mìle-bliadhna	Terceiro milénio d.C.
Esbjerg	Esbjerg
Madeira	Região Autónoma da Madeira
2 mìle-bliadhna RC	Segundo milénio a.C.
Oilthigh Niccolò Cusano	Università degli Studi Niccolò Cusano
Donnchadh I na h-Alba	Duncan I da Escócia
Smeòrach	Turdus philomelos
Dordrecht	Dordrecht
Montpelier, Vermont	Montpelier (Vermont)
Tilburg	Tilburgo
1040an	Década de 1040
Tyler County, Texas	Condado de Tyler (Texas)
Hidalgo County, Texas	Condado de Hidalgo (Texas)
Kimble County, Texas	Condado de Kimble
Kleberg County, Texas	Condado de Kleberg
Kerr County, Texas	Condado de Kerr
Saideal fuadain	Satélite artificial
Yak	Iaque
Cam-ghob	Cruza-bico
Duchesne County, Utah	Condado de Duchesne
Brooks County, Texas	Condado de Brooks (Texas)
Galveston County, Texas	Condado de Galveston
Caldwell County, Texas	Condado de Caldwell (Texas)
Chambers County, Texas	Condado de Chambers (Texas)
Brazos County, Texas	Condado de Brazos
Calhoun County, Texas	Condado de Calhoun (Texas)
Guadalupe County, Texas	Condado de Guadalupe (Texas)
Gonzales County, Texas	Condado de Gonzales
Grimes County, Texas	Condado de Grimes
San Juan County, Utah	Condado de San Juan (Utah)
Kane County, Utah	Condado de Kane (Utah)
Arspag	Alcatraz-comum
Davis County, Utah	Condado de Davis (Utah)
Juab County, Utah	Condado de Juab
Lach-mhòr	Eider-edredão
Uvalde County, Texas	Condado de Uvalde
Victoria County, Texas	Condado de Victoria (Texas)
Waller County, Texas	Condado de Waller
Refugio County, Texas	Condado de Refugio
Milam County, Texas	Condado de Milam
Liberty County, Texas	Condado de Liberty (Texas)
Iron County, Utah	Condado de Iron (Utah)
Val Verde County, Texas	Condado de Val Verde
McMullen County, Texas	Condado de McMullen
Clo-mheas	Cravo-da-índia
Emery County, Utah	Condado de Emery
Garfield County, Utah	Condado de Garfield (Utah)
San Augustine County, Texas	Condado de San Augustine
Weber County, Utah	Condado de Weber
Montgomery County, Texas	Condado de Montgomery (Texas)
Millard County, Utah	Condado de Millard
Starr County, Texas	Condado de Starr
Wasatch County, Utah	Condado de Wasatch
Beanntan Sierra Nevada	Serra Nevada (Estados Unidos)
Spruis	Picea
Bean nan gillean-tòine	Maria purpurina
Prince George's County, Maryland	Condado de Prince George's
Coileach Frangach	Peru-selvagem
San Andrés y Providencia (Roinn)	Santo André, Providência e Santa Catarina
Morgan County, Utah	Condado de Morgan (Utah)
Walker County, Texas	Condado de Walker (Texas)
Colorado County, Texas	Condado de Colorado
Inneal-fogharaidh	Colheitadeira
Sabine County, Texas	Condado de Sabine
Sutton County, Texas	Condado de Sutton
Terrell County, Texas	Condado de Terrell (Texas)
Rich County, Utah	Condado de Rich
Ròn cumanta	Foca-comum
Blanco County, Texas	Condado de Blanco
Háček	Caron
Trinity County, Texas	Condado de Trinity (Texas)
Frio County, Texas	Condado de Frio
Leon County, Texas	Condado de Leon (Texas)
Lavaca County, Texas	Condado de Lavaca
Gillespie County, Texas	Condado de Gillespie
Lee County, Texas	Condado de Lee (Texas)
Brazoria County, Texas	Condado de Brazoria
Grand County, Utah	Condado de Grand (Utah)
Wayne County, Utah	Condado de Wayne (Utah)
Broc	Texugo-europeu
Utah County, Utah	Condado de Utah
Goliad County, Texas	Condado de Goliad
Falls County, Texas	Condado de Falls
Washington County, Utah	Condado de Washington (Utah)
Piute County, Utah	Condado de Piute
Garding	Garding
Crìonag	Estrelinha-de-cabeça-listada
Afraga-Eoràisia	Eurafrásia
Sandnes	Sandnes
Faoileag	Larídeos
Aimearaga Mheadhanach	América Central
Mikhail Bakunin	Mikhail Bakunin
Giomach	Homarus gammarus
Chester County, Pennsylvania	Condado de Chester (Pensilvânia)
Delaware County, Pennsylvania	Condado de Delaware (Pensilvânia)
Beus	Baixo (voz)
Gille-fionntrainn	Caramujo
Caineal	Canela
Jackson, Mississippi	Jackson (Mississippi)
Augusta, Maine	Augusta (Maine)
Lansing, Michigan	Lansing
Amarais	Língua amárica
Concord, Hampshire Nuadh	Concord (Nova Hampshire)
Oitir	Barra
Ialtag	Morcego
36	36
Falt	Pelo
Springfield, Illinois	Springfield (Illinois)
Tarnobrzeg	Tarnobrzeg
Neas	Mustela
Frankfort, Kentucky	Frankfort (Kentucky)
Proifeasan	Profissão
Calicut	Calecute
Saint Paul, Minnesota	Saint Paul (Minnesota)
Glaisean	Passeridae
Miloš Zeman	Miloš Zeman
C.B. Kuban Krasnodar	Kuban Krasnodar
Francisco Franco	Francisco Franco
Easbaig	Bispo
Tarja Halonen	Tarja Halonen
Sant-Brieg	Saint-Brieuc
Bill Murray	Bill Murray
Montgomery, Alabama	Montgomery (Alabama)
Sìona (roinn chultarach)	China (civilização)
Dluthad	Densidade
Ferio	Deserto de Ferio
815	815
816	816
822	822
840	840
823	823
3mh mìle-bliadhna RC	Terceiro milénio a.C.
811	811
771	771
Mordvin	Língua erzya
888	888
768	768
851	851
205	205
159	159
Gallais	Língua gaulesa
107	107
162	162
103	103
802	802
804	804
119	119
118	118
801	801
807	807
806	806
Cafaidh	Café (estabelecimento)
152	152
Beàrnan-brìde	Taraxacum
240	240
218	218
655	655
496	496
238	238
197	197
451	451
775	775
489	489
Dà-chànanas	Multilinguismo
784	784
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
636	636
408	408
464	464
Rionnach	Scomber scombrus
410	410
956	956
952	952
658	658
650	650
518	518
70	70
81	81
Leopard-sneachda	Leopardo-das-neves
Boglach	Marisma
69	69
87	87
65	65
66	66
67	67
55	55
34	34
44	44
35	35
64	64
504	504
Ròn	Pinípedes
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
Ecser	Ecser
978	978
Cànan Silesianach	Língua silesiana
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mikhail Gorbachev	Mikhail Gorbachev
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
Seabhag	Falcão-peregrino
758	758
350	350
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
648	648
686	686
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
Auguste Rodin	Auguste Rodin
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
225	225
311	311
220	220
541	541
642	642
Oscar Wilde	Oscar Wilde
390an	Década de 390
313	313
180	180
794	794
587	587
530	530
609	609
497	497
540	540
428	428
Neach-seinn àirde	Soprano
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
350an	Década de 350
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
291	291
48	48
97	97
56	56
93	93
Alofi	Alofi
57	57
Poilinèis na Frainge	Polinésia Francesa
Rouen	Ruão
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
Yaren	Yaren
508	508
Ròpa	Corda
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
Burlington, Vermont	Burlington (Vermont)
630	630
614	614
505	505
446	446
791	791
557	557
Àireamhair	Calculadora
656	656
657	657
Glacier County, Montana	Condado de Glacier
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
Piorraid	Psittaciformes
521	521
92	92
597	597
329	329
Kraków	Cracóvia
133	133
413	413
258	258
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
191	191
450	450
612	612
635	635
611	611
534	534
Inbhir Chargaill	Invercargill
488	488
607	607
524	524
282	282
472	472
471	471
490	490
316	316
797	797
511	511
295	295
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Cur-ris	Adição
284	284
283	283
Pahlavi	Persa médio
241	241
243	243
262	262
498	498
336	336
334	334
266	266
Dòrnaireachd	Boxe
261	261
470	470
Oilthigh Halle-Wittenberg	Universidade de Halle-Wittenberg
349	349
271	271
275	275
292	292
296	296
345	345
431	431
380an	Década de 380
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
Lake County, Colorado	Condado de Lake (Colorado)
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
288	288
Teàrlach V, Iompaire Naomh Ròmanach	Carlos I de Espanha
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Asal stiallach	Zebra
276	276
Mosg	Mesquita
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
528	528
506	506
526	526
507	507
Valery Leontiev	Valery Leontiev
214	214
213	213
212	212
228	228
227	227
149	149
174	174
189	189
199	199
141	141
132	132
125	125
123	123
Vincent du Vigneaud	Vincent du Vigneaud
147	147
144	144
198	198
178	178
177	177
187	187
195	195
186	186
347	347
620	620
624	624
605	605
629	629
616	616
615	615
644	644
646	646
633	633
637	637
436	436
434	434
293	293
427	427
185	185
360an	Década de 360
321	321
327	327
430	430
Leon Trotsky	Leon Trótski
447	447
Little Rock, Arkansas	Little Rock
569	569
568	568
444	444
796	796
798	798
Càrdamon	Cardamomo-verdadeiro
793	793
685	685
Hartford	Hartford
799	799
683	683
Taigh-tasgaidh	Museu
Rolling Stone	Rolling Stone
274	274
Aibidil Eabhra	Alfabeto hebraico
Dover, Delaware	Dover (Delaware)
579	579
Caisteal Cheatharlach	Castelo de Carlow
281	281
306	306
438	438
Friedrich II na Pruise	Frederico II da Prússia
297	297
421	421
298	298
351	351
352	352
355	355
95	95
94	94
594	594
542	542
448	448
445	445
305	305
234	234
565	565
381	381
385	385
307	307
346	346
257	257
285	285
591	591
289	289
Bertrand Russell	Bertrand Russell
Làmh	Mão
563	563
252	252
Nepali (canan)	Língua nepali
Àireamh-shluaigh	População
595	595
246	246
Theodore Roosevelt	Theodore Roosevelt
596	596
593	593
357	357
Tel Aviv	Tel Aviv
Nice	Nice
Duilleag	Folha
Sàrdais	Língua sarda
Actair	Ator
Marlon Brando	Marlon Brando
Niue	Niue
Eas	Queda de água
599	599
326	326
341	341
322	322
Nathalia Dill	Nathalia Dill
Justin Bieber	Justin Bieber
Umha	Bronze
Modica	Módica
Hosni Mubarak	Hosni Mubarak
386	386
Funafuti	Funafuti
374	374
380	380
Pablo Neruda	Pablo Neruda
Àth nan Damh	Oxford
Walloon (cànan)	Língua valona
136	136
Linus Torvalds	Linus Torvalds
Port-au-Prince	Porto Príncipe
Międzyrzec Podlaski	Międzyrzec Podlaski
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
370an	Década de 370
Tasmania	Tasmânia
Rotterdam	Roterdão
Innealan-ciùil	Instrumento musical
Eala	Cisne
Oilthigh Oxford	Universidade de Oxford
Rathad	Estrada
Aleksandr Solženicyn	Alexander Soljenítsin
Heileacoptair	Helicóptero
Each-aibhne	Hipopótamo-comum
382	382
342	342
373	373
372	372
James A. Garfield	James A. Garfield
Kyoto	Quioto
Sionagog	Sinagoga
Caolas Sasannach	Canal da Mancha
1980an	Década de 1980
Johannesburg	Joanesburgo
Eaglais	Igreja
1990an	Década de 1990
Albert Camus	Albert Camus
Gainmheach	Areia
Kingston, Iaimeuca	Kingston
Buadhair	Adjetivo
Leopard	Leopardo
Salzburg	Salzburgo
Sròn-adharcach	Rhinocerotidae
Dayton, Ohio	Dayton (Ohio)
Rudyard Kipling	Rudyard Kipling
Leth-eilean	Península
Còd Àireamh fòn eadar-nàiseanta	Lista de códigos telefónicos
Dùn Breatann	Dumbarton
Friedrich Engels	Friedrich Engels
Bliadhna Ùr	Ano-Novo
Santo Domingo	Santo Domingo
Ulysses S. Grant	Ulysses S. Grant
Oklahoma City, Oklahoma	Oklahoma City
375	375
Brisbane	Brisbane
Ptolomaidh	Ptolemeu
1970an	Década de 1970
2000an	Década de 2000
William McKinley	William McKinley
Càl	Repolho
Sheòirsea a Deas is na h-Eileanan Shandwich a Deas	Ilhas Geórgia do Sul e Sandwich do Sul
Prìomh-bhailtean	Lista de capitais nacionais
Noemi	Noemi (cantora)
Làrach-lìn	Site
Wilhelm Conrad Röntgen	Wilhelm Conrad Röntgen
Urramachd Seapanais	Títulos honoríficos japoneses
Grover Cleveland	Grover Cleveland
Cubhait (baile)	Kuwait (cidade)
Herbert Hoover	Herbert Hoover
Facal-fhreumachd	Etimologia
Pùma	Puma concolor
44 RC	44 a.C.
Warren G. Harding	Warren G. Harding
387	387
Nikita Hruŝëv	Nikita Khrushchov
Brad Pitt	Brad Pitt
Colombo	Colombo
Uinneag	Janela
Almaty	Almaty
Chester A. Arthur	Chester A. Arthur
Seann-Lochlannais	Língua nórdica antiga
Uamh	Caverna
Hokkaidō	Hokkaido
Arthur Conan Doyle	Arthur Conan Doyle
Dinnsear	Gengibre
Duais Nobel airson Sith	Nobel da Paz
William Howard Taft	William Howard Taft
Linne Chluaidh	Firth of Clyde
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford B. Hayes
Iaguar	Onça-pintada
1930an	Década de 1930
Astràilia a Deas	Austrália Meridional
1960an	Década de 1960
1920an	Década de 1920
Pàrlamaid	Parlamento
Aiste	Ensaio
Osaka	Osaka (cidade)
Boise, Idaho	Boise
Oilthigh Chambridge	Universidade de Cambridge
Baruch Spinoza	Baruch Espinoza
Cadal	Sono
Heactair	Hectare
Uachdar-fhiaclan	Creme dental
Baisteadh	Batismo
Bàta	Barco
Guaranaidh	Língua guarani
Ceilteach	Celtas
Calvin Coolidge	Calvin Coolidge
Seileach	Salgueiro
Queensland	Queensland
Minneapolis, Minnesota	Minneapolis
Mathan coala	Coala
Charles Bronson	Charles Bronson
Muhammed Ali	Muhammad Ali
Borneo	Bornéu
Ùir	Solo
Àlach	Conjunto
Bridgetown	Bridgetown
Siligo	Siligo
Riochdair	Pronome
Fuaimreag	Vogal
Apia	Apia
Saint John's, Antigua agus Barbuda	Saint John's
Beath-eachdraidh	Biografia
Roseau	Roseau
1950an	Década de 1950
Thales	Tales de Mileto
Calgary	Calgary
Jane Austen	Jane Austen
Aisling	Sonho
Fribourg	Friburgo (Suíça)
Comann Iosaid	Companhia de Jesus
Radan	Rattus
Obar Dheathain	Aberdeen
Porto	Porto
Flùr	Farinha
The Lion King	O Rei Leão
Naisgear	Conjunção
Mìle-bliadhna	Milênio
Francis Drake	Francis Drake
Port Moresby	Port Moresby
Àbhainn	Forno
1940an	Década de 1940
1900an	Década de 1900
1910an	Década de 1910
Den Haag	Haia
Goiriola	Gorila
Siùrsachd	Prostituição
Corcaigh	Cork
