Afraga	África
9 am Faoilleach	9 de janeiro
10 am Faoilleach	10 de janeiro
11 am Faoilleach	11 de janeiro
12 am Faoilleach	12 de janeiro
Buzz Aldrin	Buzz Aldrin
13 am Faoilleach	13 de janeiro
Birmingham	Birmingham
14 am Faoilleach	14 de janeiro
15 am Faoilleach	15 de janeiro
16 am Faoilleach	16 de janeiro
17 am Faoilleach	17 de janeiro
18 am Faoilleach	18 de janeiro
19 am Faoilleach	19 de janeiro
20 am Faoilleach	20 de janeiro
Tionndadh Gnìomhachais	Revolução Industrial
21 am Faoilleach	21 de janeiro
22 am Faoilleach	22 de janeiro
23 am Faoilleach	23 de janeiro
Impireachd na Ròimhe	Império Romano
24 am Faoilleach	24 de janeiro
25 am Faoilleach	25 de janeiro
Minsk	Minsk
26 am Faoilleach	26 de janeiro
27 am Faoilleach	27 de janeiro
28 am Faoilleach	28 de janeiro
29 am Faoilleach	29 de janeiro
30 am Faoilleach	30 de janeiro
31 am Faoilleach	31 de janeiro
2 an Dùbhlachd	2 de dezembro
1 an Dùbhlachd	1 de dezembro
3 an Dùbhlachd	3 de dezembro
7 an Dùbhlachd	7 de dezembro
5 an Dùbhlachd	5 de dezembro
8 an Dùbhlachd	8 de dezembro
10 an Dùbhlachd	10 de dezembro
6 an Dùbhlachd	6 de dezembro
9 an Dùbhlachd	9 de dezembro
4 an Dùbhlachd	4 de dezembro
1 an Gearran	1 de fevereiro
2 an Gearran	2 de fevereiro
3 an Gearran	3 de fevereiro
Kurów	Kurów
4 an Gearran	4 de fevereiro
5 an Gearran	5 de fevereiro
6 an Gearran	6 de fevereiro
7 an Gearran	7 de fevereiro
8 an Gearran	8 de fevereiro
9 an Gearran	9 de fevereiro
10 an Gearran	10 de fevereiro
Ceimigeachd	Química
Led Zeppelin	Led Zeppelin
14 an Gearran	14 de fevereiro
13 an Gearran	13 de fevereiro
15 an Gearran	15 de fevereiro
11 an Gearran	11 de fevereiro
12 an Gearran	12 de fevereiro
19 an Gearran	19 de fevereiro
17 an Gearran	17 de fevereiro
16 an Gearran	16 de fevereiro
18 an Gearran	18 de fevereiro
20 an Gearran	20 de fevereiro
21 an Gearran	21 de fevereiro
22 an Gearran	22 de fevereiro
23 an Gearran	23 de fevereiro
24 an Gearran	24 de fevereiro
25 an Gearran	25 de fevereiro
26 an Gearran	26 de fevereiro
27	27
27 an Gearran	27 de fevereiro
28 an Gearran	28 de fevereiro
11 an Dùbhlachd	11 de dezembro
29 an Gearran	29 de fevereiro
12 an Dùbhlachd	12 de dezembro
13 an Dùbhlachd	13 de dezembro
14 an Dùbhlachd	14 de dezembro
15 an Dùbhlachd	15 de dezembro
2 am Màrt	2 de março
3 am Màrt	3 de março
5 am Màrt	5 de março
1 am Màrt	1 de março
7 am Màrt	7 de março
8 am Màrt	8 de março
4 am Màrt	4 de março
10 am Màrt	10 de março
11 am Màrt	11 de março
6 am Màrt	6 de março
13 am Màrt	13 de março
9 am Màrt	9 de março
12 am Màrt	12 de março
15 am Màrt	15 de março
14 am Màrt	14 de março
16 an Dùbhlachd	16 de dezembro
17 an Dùbhlachd	17 de dezembro
16 am Màrt	16 de março
17 am Màrt	17 de março
Uisge For	Rio Forth
18 am Màrt	18 de março
19 am Màrt	19 de março
1989	1989
1988	1988
20 am Màrt	20 de março
1987	1987
1986	1986
1985	1985
1984	1984
21 am Màrt	21 de março
1983	1983
22 am Màrt	22 de março
1982	1982
1981	1981
18 an Dùbhlachd	18 de dezembro
1980	1980
23 am Màrt	23 de março
Mogadishu	Mogadíscio
19 an Dùbhlachd	19 de dezembro
24 am Màrt	24 de março
25 am Màrt	25 de março
20 an Dùbhlachd	20 de dezembro
26 am Màrt	26 de março
27 am Màrt	27 de março
28 am Màrt	28 de março
29 am Màrt	29 de março
30 am Màrt	30 de março
31 am Màrt	31 de março
Nassau	Nassau (Bahamas)
Ṣan'ā'	Saná
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Pàpa Beinidict XVI	Papa Bento XVI
15 an Giblean	15 de abril
13 an Giblean	13 de abril
12 an Giblean	12 de abril
14 an Giblean	14 de abril
11 an Giblean	11 de abril
10 an Giblean	10 de abril
8 an Giblean	8 de abril
9 an Giblean	9 de abril
7 an Giblean	7 de abril
6 an Giblean	6 de abril
5 an Giblean	5 de abril
4 an Giblean	4 de abril
3 an Giblean	3 de abril
1 an Giblean	1 de abril
2 an Giblean	2 de abril
16 an Giblean	16 de abril
17 an Giblean	17 de abril
18 an Giblean	18 de abril
19 an Giblean	19 de abril
20 an Giblean	20 de abril
21 an Giblean	21 de abril
22 an Giblean	22 de abril
23 an Giblean	23 de abril
24 an Giblean	24 de abril
25 an Giblean	25 de abril
26 an Giblean	26 de abril
27 an Giblean	27 de abril
28 an Giblean	28 de abril
29 an Giblean	29 de abril
30 an Giblean	30 de abril
Saideal (reul-eòlas)	Satélite natural
1 an Cèitean	1 de maio
2 an Cèitean	2 de maio
3 an Cèitean	3 de maio
4 an Cèitean	4 de maio
5 an Cèitean	5 de maio
6 an Cèitean	6 de maio
7 an Cèitean	7 de maio
8 an Cèitean	8 de maio
9 an Cèitean	9 de maio
10 an Cèitean	10 de maio
11 an Cèitean	11 de maio
12 an Cèitean	12 de maio
13 an Cèitean	13 de maio
14 an Cèitean	14 de maio
15 an Cèitean	15 de maio
16 an Cèitean	16 de maio
17 an Cèitean	17 de maio
18 an Cèitean	18 de maio
19 an Cèitean	19 de maio
20 an Cèitean	20 de maio
21 an Cèitean	21 de maio
22 an Cèitean	22 de maio
23 an Cèitean	23 de maio
24 an Cèitean	24 de maio
25 an Cèitean	25 de maio
26 an Cèitean	26 de maio
27 an Cèitean	27 de maio
