Afrihkká	África
Kirgisistan	Quirguistão
Arizona	Arizona
Kuwait	Kuwait
Laos	Laos
Libanon	Líbano
Oregon	Oregon
Ipmil (risttalašvuohta)	Deus no cristianismo
Malediivvat	Maldivas
Utah	Utah
Malaysia	Malásia
Valais (kantona)	Valais (cantão)
Myanmar	Myanmar
Nepal	Nepal
Oman	Omã
Pakistan	Paquistão
Qatar	Catar
Saudi-Arábia	Arábia Saudita
Sri Lanka	Sri Lanka
Syria	Síria
Platon	Platão
Tažikistan	Tajiquistão
Taiwan	República da China
YouTube	YouTube
Aristoteles	Aristóteles
Thaieana	Tailândia
Turkmenistan	Turquemenistão
Ovttastuvvan arábaemiráhtat	Emirados Árabes Unidos
Vietnam	Vietname
Lulli-Korea	Coreia do Sul
Afganistan	Afeganistão
Nižni Novgorod	Níjni Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Golli	Ouro
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Butão
Brunei	Brunei
Tanzánia	Tanzânia
Filippiinnat	Filipinas
Gaska-Afrihká dásseváldi	República Centro-Africana
Davvipola	Polo Norte
Albert Einstein	Albert Einstein
Togo	Togo
Tunisia	Tunísia
Zámbia	Zâmbia
Zimbabwe	Zimbabwe
Peking	Pequim
Lulli-Sudan	Sudão do Sul
Tuva	Tuva
Benin	Benim
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komorat	Comores
Kongo dásseváldi	República do Congo
Kongo demokráhtalaš dásseváldi	República Democrática do Congo
Djibouti	Djibouti
Bayern	Baviera
Beaivvedási Guinea	Guiné Equatorial
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritreia
New Delhi	Nova Deli
Tbilisi	Tbilisi
Gabon	Gabão
Gambia	Gâmbia
Guinea	Guiné
Guinea-Bissau	Guiné-Bissau
Elefántačalánriddu	Costa do Marfim
Kamerun	Camarões
Kap Verde	Cabo Verde
Lesotho	Lesoto
Liberia	Libéria
Libya	Líbia
Madagaskar	Madagáscar
Malawi	Malawi
Mauritánia	Mauritânia
Mauritius	Maurícia
Marokko	Marrocos
Mosambik	Moçambique
Namibia	Namíbia
Niger	Níger
Nigeria	Nigéria
Uganda	Uganda
Rwanda	Ruanda
São Tomé ja Príncipe	São Tomé e Príncipe
Senegal	Senegal
Seychellsullot	Seicheles
Sierra Leone	Serra Leoa
Somália	Somália
Sudan	Sudão
Svazieana	Suazilândia
Hamborg	Hamburgo
Ovttastuvvan našuvnnat	Organização das Nações Unidas
Praha	Praga
Bill Clinton	Bill Clinton
Lothringen	Lorena (França)
Auvergne	Auvérnia
Michigan	Michigan
Goa	Goa
Burgundi	Borgonha
Akvitania	Aquitânia
Limousin	Limusino
Slesvig-Holsten	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklemburgo-Pomerânia Ocidental
Niedersachsen	Baixa Saxônia
Nordrhein-Westfalen	Renânia do Norte-Vestfália
Hessen	Hesse
Rheinland-Pfalz	Renânia-Palatinado
Saarland	Sarre
Sachsen	Saxônia
Illinois	Illinois
Thüringen	Turíngia
Sachsen-Anhalt	Saxônia-Anhalt
Davvi-Dakota	Dakota do Norte
Brandenburg	Brandemburgo
Bremen	Bremen (estado)
Lombardia	Lombardia
Lulli-Dakota	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Idaho	Idaho
Valle d'Aosta	Vale de Aosta
Washington (oassestáhta)	Washington
Nevada	Nevada
Trentino-Alto Adige	Trentino-Alto Ádige
Veneto	Vêneto
Friuli-Venezia Giulia	Friul-Veneza Júlia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligúria
Colorado	Colorado
Emilia-Romagna	Emília-Romanha
Toscana	Toscana
Marche	Marcas
Umbria	Úmbria
Kategoriija:Váldokategoriijat	Categoria:Conteúdo
Latium	Lácio
Abruzzo	Abruzos
Chicago	Chicago
Spánskagiella	Língua castelhana
Montevideo	Montevidéu
Delhi	Deli
Heavdni	Aranha
Islamabad	Islamabad
Šattus	Fruto
Áhppa	Macaco
Virginia	Virgínia
Oarje-Virginia	Virgínia Ocidental
New York (oassestáhta)	Nova Iorque (estado)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pensilvânia
Uetersen	Uetersen
New Jersey	Nova Jérsia
Suomagiella	Língua finlandesa
Indiana	Indiana
Georgia (oassestáhta)	Geórgia (Estados Unidos)
KDE	KDE
Zagreb	Zagreb
Campania	Campânia
Texas	Texas
Molise	Molise
Puglia	Apúlia
Basilicata	Basilicata
Davvi-Carolina	Carolina do Norte
Lulli-Carolina	Carolina do Sul
Calabria	Calábria
Sicilia	Sicília
Sardinia	Sardenha
Meksiko gávpot	Cidade do México
Tokyo	Tóquio
Barcelona	Barcelona
Mississippi	Mississippi
Tennessee	Tennessee
New Mexico	Novo México
Athena	Atenas
Minnesota	Minnesota
UTC	Tempo Universal Coordenado
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Ciudad de Guatemala	Cidade da Guatemala
Kansas	Kansas
Hindigiella	Língua hindi
Missouri	Missouri
Louisiana	Luisiana
Kentucky	Kentucky
Arkansas	Arkansas
Urdugiella	Língua urdu
Oklahoma	Oklahoma
Moskva oblast	Oblast de Moscou
München	Munique
Samara oblast	Oblast de Samara
Wien	Viena
Københápman	Copenhaga
Kaliningrad oblast	Oblast de Kaliningrado
Stockholbma	Estocolmo
Helsset	Helsínquia
Murmansk oblast	Oblast de Murmansk
Dublin	Dublin
Murmánska	Murmansk
Reykjavík	Reykjavík
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapeste
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Kárášjohka	Karasjok
Luxemburg (gávpot)	Luxemburgo (cidade)
Vaduz	Vaduz
Biibbal	Bíblia
Hồ Chí Minh gávpot	Cidade de Ho Chi Minh
Hanoi	Hanói
Duođalaš Jesusa Girku	Verdadeira Igreja de Jesus
Eaŋgalsgiella	Língua inglesa
Bangkok	Banguecoque
Andorra la Vella	Andorra-a-Velha
Arkhangelsk oblast	Oblast de Arkhangelsk
Đồng Hới	Dong Hoi
Concepción, Chile	Concepción (Chile)
Fyresdal	Fyresdal
Kiova	Kiev
Gárjila dásseváldi	República da Carélia
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
2004	2004
Vologda oblast	Oblast de Vologda
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Komi dásseváldi	República de Komi
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Biebmu	Alimento
Gearpmašat	Serpente
Ođđajagimánu 1.	1 de janeiro
Ođđajagimánu 2.	2 de janeiro
1920	1920
Ođđajagimánu 3.	3 de janeiro
1919	1919
1921	1921
Njenec Iehčanas Guovlu	Nenétsia
1922	1922
Lund (Rogalánda)	Lund (Suécia)
Ođđajagimánu 4.	4 de janeiro
1923	1923
1924	1924
Leningrad oblast	Oblast de Leningrado
Ođđajagimánu 5.	5 de janeiro
Malmö	Malmö
Pskov oblast	Oblast de Pskov
Ođđajagimánu 6.	6 de janeiro
Ođđajagimánu 7.	7 de janeiro
Nissedal	Nissedal
Kviteseid	Kviteseid
Ođđajagimánu 8.	8 de janeiro
Seljord	Seljord
Ođđajagimánu 9.	9 de janeiro
Novgorod oblast	Oblast de Novgorod
Tokke	Tokke
Ođđajagimánu 10.	10 de janeiro
Vinje	Vinje
Nizjnij Novgorod oblast	Oblast de Níjni Novgorod
Ođđajagimánu 11.	11 de janeiro
Ođđajagimánu 12.	12 de janeiro
Telemárkku fylka	Telemark
Ođđajagimánu 13.	13 de janeiro
Ođđajagimánu 14.	14 de janeiro
Ođđajagimánu 15.	15 de janeiro
Ođđajagimánu 16.	16 de janeiro
Ođđajagimánu 17.	17 de janeiro
Ođđajagimánu 18.	18 de janeiro
Ođđajagimánu 19.	19 de janeiro
Ođđajagimánu 20.	20 de janeiro
Skien	Skien
Ođđajagimánu 21.	21 de janeiro
Ođđajagimánu 22.	22 de janeiro
Ođđajagimánu 23.	23 de janeiro
Ođđajagimánu 24.	24 de janeiro
Ođđajagimánu 25.	25 de janeiro
Minsk	Minsk
Ođđajagimánu 26.	26 de janeiro
Ođđajagimánu 27.	27 de janeiro
Ođđajagimánu 28.	28 de janeiro
Ođđajagimánu 29.	29 de janeiro
Ođđajagimánu 30.	30 de janeiro
Ođđajagimánu 31.	31 de janeiro
Porsgrunn	Porsgrunn
Tver oblast	Oblast de Tver
Juovlamánu 2.	2 de dezembro
Juovlamánu 1.	1 de dezembro
Juovlamánu 3.	3 de dezembro
Juovlamánu 7.	7 de dezembro
Juovlamánu 5.	5 de dezembro
Juovlamánu 8.	8 de dezembro
Juovlamánu 10.	10 de dezembro
Juovlamánu 6.	6 de dezembro
Juovlamánu 9.	9 de dezembro
Siljan	Siljan
Juovlamánu 4.	4 de dezembro
Guovvamánu 1.	1 de fevereiro
Guovvamánu 2.	2 de fevereiro
Guovvamánu 3.	3 de fevereiro
Kurów	Kurów
Guovvamánu 4.	4 de fevereiro
Guovvamánu 5.	5 de fevereiro
Guovvamánu 6.	6 de fevereiro
Guovvamánu 7.	7 de fevereiro
Guovvamánu 8.	8 de fevereiro
Guovvamánu 9.	9 de fevereiro
Guovvamánu 10.	10 de fevereiro
Notodden	Notodden
Guovvamánu 14.	14 de fevereiro
Guovvamánu 13.	13 de fevereiro
Guovvamánu 15.	15 de fevereiro
Guovvamánu 11.	11 de fevereiro
Guovvamánu 12.	12 de fevereiro
Guovvamánu 19.	19 de fevereiro
Guovvamánu 17.	17 de fevereiro
Guovvamánu 16.	16 de fevereiro
Guovvamánu 18.	18 de fevereiro
Guovvamánu 20.	20 de fevereiro
Smolensk oblast	Oblast de Smolensk
Guovvamánu 21.	21 de fevereiro
Guovvamánu 22.	22 de fevereiro
Guovvamánu 23.	23 de fevereiro
Hjartdal	Hjartdal
Guovvamánu 24.	24 de fevereiro
Guovvamánu 25.	25 de fevereiro
Guovvamánu 26.	26 de fevereiro
Guovvamánu 27.	27 de fevereiro
Guovvamánu 28.	28 de fevereiro
Juovlamánu 11.	11 de dezembro
Guovvamánu 29.	29 de fevereiro
Drangedal	Drangedal
Juovlamánu 12.	12 de dezembro
Kragerø	Kragerø
Nome	Nome (Noruega)
Juovlamánu 13.	13 de dezembro
Sauherad	Sauherad
Juovlamánu 14.	14 de dezembro
Juovlamánu 15.	15 de dezembro
Njukčamánu 2.	2 de março
Njukčamánu 3.	3 de março
Njukčamánu 5.	5 de março
Njukčamánu 1.	1 de março
Njukčamánu 7.	7 de março
Njukčamánu 8.	8 de março
Njukčamánu 4.	4 de março
Njukčamánu 10.	10 de março
Njukčamánu 11.	11 de março
Njukčamánu 6.	6 de março
Njukčamánu 13.	13 de março
Njukčamánu 9.	9 de março
Njukčamánu 12.	12 de março
Njukčamánu 15.	15 de março
Njukčamánu 14.	14 de março
Juovlamánu 16.	16 de dezembro
Juovlamánu 17.	17 de dezembro
Kristiansand	Kristiansand
Njukčamánu 16.	16 de março
Njukčamánu 17.	17 de março
Njukčamánu 18.	18 de março
Njukčamánu 19.	19 de março
1989	1989
1988	1988
Njukčamánu 20.	20 de março
1987	1987
1986	1986
1985	1985
1984	1984
Njukčamánu 21.	21 de março
1983	1983
Njukčamánu 22.	22 de março
1982	1982
1981	1981
Juovlamánu 18.	18 de dezembro
1980	1980
Njukčamánu 23.	23 de março
Jaroslavl oblast	Oblast de Iaroslavl
Juovlamánu 19.	19 de dezembro
Njukčamánu 24.	24 de março
Njukčamánu 25.	25 de março
Juovlamánu 20.	20 de dezembro
Njukčamánu 26.	26 de março
Njukčamánu 27.	27 de março
Njukčamánu 28.	28 de março
Njukčamánu 29.	29 de março
Njukčamánu 30.	30 de março
Njukčamánu 31.	31 de março
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Cuoŋománu 15.	15 de abril
Cuoŋománu 13.	13 de abril
Cuoŋománu 12.	12 de abril
Cuoŋománu 14.	14 de abril
Cuoŋománu 11.	11 de abril
Cuoŋománu 10.	10 de abril
Cuoŋománu 8.	8 de abril
Cuoŋománu 9.	9 de abril
Cuoŋománu 7.	7 de abril
Cuoŋománu 6.	6 de abril
Cuoŋománu 5.	5 de abril
Cuoŋománu 4.	4 de abril
Cuoŋománu 3.	3 de abril
Cuoŋománu 1.	1 de abril
Cuoŋománu 2.	2 de abril
Cuoŋománu 16.	16 de abril
Cuoŋománu 17.	17 de abril
Cuoŋománu 18.	18 de abril
Cuoŋománu 19.	19 de abril
Cuoŋománu 20.	20 de abril
Cuoŋománu 21.	21 de abril
Cuoŋománu 22.	22 de abril
Cuoŋománu 23.	23 de abril
Cuoŋománu 24.	24 de abril
Cuoŋománu 25.	25 de abril
Cuoŋománu 26.	26 de abril
Cuoŋománu 27.	27 de abril
Cuoŋománu 28.	28 de abril
Cuoŋománu 29.	29 de abril
Cuoŋománu 30.	30 de abril
Miessemánu 1.	1 de maio
Miessemánu 2.	2 de maio
Miessemánu 3.	3 de maio
Miessemánu 4.	4 de maio
Miessemánu 5.	5 de maio
Miessemánu 6.	6 de maio
Miessemánu 7.	7 de maio
Miessemánu 8.	8 de maio
Miessemánu 9.	9 de maio
Miessemánu 10.	10 de maio
Miessemánu 11.	11 de maio
Miessemánu 12.	12 de maio
Miessemánu 13.	13 de maio
Miessemánu 14.	14 de maio
Miessemánu 15.	15 de maio
Miessemánu 16.	16 de maio
Miessemánu 17.	17 de maio
Miessemánu 18.	18 de maio
Miessemánu 19.	19 de maio
Miessemánu 20.	20 de maio
Miessemánu 21.	21 de maio
Miessemánu 22.	22 de maio
Miessemánu 23.	23 de maio
Miessemánu 24.	24 de maio
Miessemánu 25.	25 de maio
Miessemánu 26.	26 de maio
Miessemánu 27.	27 de maio
Miessemánu 28.	28 de maio
Miessemánu 29.	29 de maio
Miessemánu 30.	30 de maio
Miessemánu 31.	31 de maio
Kostroma oblast	Oblast de Kostroma
Juovlamánu 21.	21 de dezembro
Geassemánu 14.	14 de junho
Geassemánu 15.	15 de junho
Geassemánu 13.	13 de junho
Geassemánu 10.	10 de junho
Geassemánu 7.	7 de junho
Geassemánu 11.	11 de junho
Geassemánu 9.	9 de junho
Geassemánu 12.	12 de junho
Geassemánu 6.	6 de junho
Geassemánu 8.	8 de junho
Geassemánu 5.	5 de junho
Geassemánu 3.	3 de junho
Geassemánu 2.	2 de junho
Geassemánu 1.	1 de junho
Geassemánu 4.	4 de junho
Juovlamánu 22.	22 de dezembro
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Geassemánu 16.	16 de junho
Ivanovo oblast	Oblast de Ivanovo
Geassemánu 30.	30 de junho
Geassemánu 29.	29 de junho
Geassemánu 28.	28 de junho
Geassemánu 26.	26 de junho
Geassemánu 25.	25 de junho
Geassemánu 22.	22 de junho
Geassemánu 27.	27 de junho
Geassemánu 24.	24 de junho
Geassemánu 20.	20 de junho
Geassemánu 23.	23 de junho
Geassemánu 19.	19 de junho
Geassemánu 18.	18 de junho
Geassemánu 21.	21 de junho
Geassemánu 17.	17 de junho
Juovlamánu 23.	23 de dezembro
Suoidnemánu 15.	15 de julho
Suoidnemánu 13.	13 de julho
Suoidnemánu 12.	12 de julho
Suoidnemánu 10.	10 de julho
Suoidnemánu 9.	9 de julho
Suoidnemánu 14.	14 de julho
Suoidnemánu 8.	8 de julho
Suoidnemánu 7.	7 de julho
Suoidnemánu 6.	6 de julho
Suoidnemánu 5.	5 de julho
Suoidnemánu 2.	2 de julho
Suoidnemánu 4.	4 de julho
Suoidnemánu 3.	3 de julho
Suoidnemánu 1.	1 de julho
Suoidnemánu 11.	11 de julho
Vladimir oblast	Oblast de Vladimir
Juovlamánu 24.	24 de dezembro
Suoidnemánu 31.	31 de julho
Suoidnemánu 30.	30 de julho
Suoidnemánu 29.	29 de julho
Suoidnemánu 28.	28 de julho
Suoidnemánu 27.	27 de julho
Suoidnemánu 25.	25 de julho
Suoidnemánu 24.	24 de julho
Suoidnemánu 23.	23 de julho
Suoidnemánu 26.	26 de julho
Suoidnemánu 22.	22 de julho
Suoidnemánu 19.	19 de julho
Suoidnemánu 21.	21 de julho
Suoidnemánu 20.	20 de julho
Suoidnemánu 17.	17 de julho
Suoidnemánu 18.	18 de julho
Suoidnemánu 16.	16 de julho
Spábbačiekčan	Futebol
Juovlamánu 25.	25 de dezembro
Rjazan oblast	Oblast de Riazan
1963	1963
Lech Kaczyński	Lech Kaczyński
Juovlamánu 26.	26 de dezembro
1962	1962
Borgemánu 14.	14 de agosto
Borgemánu 15.	15 de agosto
Borgemánu 13.	13 de agosto
Borgemánu 12.	12 de agosto
Borgemánu 11.	11 de agosto
Borgemánu 10.	10 de agosto
Borgemánu 8.	8 de agosto
Borgemánu 7.	7 de agosto
Borgemánu 9.	9 de agosto
Borgemánu 5.	5 de agosto
Borgemánu 4.	4 de agosto
Borgemánu 2.	2 de agosto
Borgemánu 3.	3 de agosto
Borgemánu 6.	6 de agosto
Borgemánu 1.	1 de agosto
Tula oblast	Oblast de Tula
Juovlamánu 27.	27 de dezembro
Madrid	Madrid
Brjansk oblast	Oblast de Briansk
Borgemánu 16.	16 de agosto
Coca-Cola	Coca-Cola
Borgemánu 29.	29 de agosto
Borgemánu 28.	28 de agosto
Borgemánu 30.	30 de agosto
Borgemánu 25.	25 de agosto
Borgemánu 26.	26 de agosto
Borgemánu 23.	23 de agosto
Borgemánu 27.	27 de agosto
Borgemánu 21.	21 de agosto
Borgemánu 20.	20 de agosto
Borgemánu 24.	24 de agosto
Borgemánu 18.	18 de agosto
Borgemánu 17.	17 de agosto
Borgemánu 22.	22 de agosto
Borgemánu 19.	19 de agosto
Borgemánu 31.	31 de agosto
Michael Jackson	Michael Jackson
Juovlamánu 28.	28 de dezembro
Kaluga oblast	Oblast de Kaluga
Čakčamánu 15.	15 de setembro
Čakčamánu 14.	14 de setembro
Čakčamánu 13.	13 de setembro
Čakčamánu 12.	12 de setembro
Čakčamánu 8.	8 de setembro
Čakčamánu 11.	11 de setembro
Čakčamánu 7.	7 de setembro
Čakčamánu 10.	10 de setembro
Čakčamánu 5.	5 de setembro
Čakčamánu 4.	4 de setembro
Čakčamánu 9.	9 de setembro
Čakčamánu 2.	2 de setembro
Čakčamánu 6.	6 de setembro
Čakčamánu 1.	1 de setembro
Čakčamánu 3.	3 de setembro
Juovlamánu 29.	29 de dezembro
Alexander Lukašenka	Aleksandr Lukashenko
Čakčamánu 30.	30 de setembro
Čakčamánu 29.	29 de setembro
Čakčamánu 28.	28 de setembro
Čakčamánu 27.	27 de setembro
Čakčamánu 26.	26 de setembro
Čakčamánu 25.	25 de setembro
Čakčamánu 23.	23 de setembro
Čakčamánu 22.	22 de setembro
Čakčamánu 24.	24 de setembro
Čakčamánu 21.	21 de setembro
Čakčamánu 20.	20 de setembro
Čakčamánu 18.	18 de setembro
Čakčamánu 17.	17 de setembro
Čakčamánu 19.	19 de setembro
Čakčamánu 16.	16 de setembro
Quito	Quito
Juovlamánu 30.	30 de dezembro
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Juovlamánu 31.	31 de dezembro
Golggotmánu 1.	1 de outubro
Golggotmánu 15.	15 de outubro
Golggotmánu 12.	12 de outubro
Golggotmánu 10.	10 de outubro
Golggotmánu 14.	14 de outubro
Golggotmánu 9.	9 de outubro
Golggotmánu 8.	8 de outubro
Golggotmánu 13.	13 de outubro
Golggotmánu 7.	7 de outubro
Golggotmánu 11.	11 de outubro
Golggotmánu 6.	6 de outubro
Golggotmánu 4.	4 de outubro
Golggotmánu 5.	5 de outubro
Golggotmánu 3.	3 de outubro
Golggotmánu 2.	2 de outubro
Golggotmánu 31.	31 de outubro
Golggotmánu 30.	30 de outubro
Golggotmánu 29.	29 de outubro
Golggotmánu 28.	28 de outubro
Golggotmánu 26.	26 de outubro
Golggotmánu 25.	25 de outubro
Golggotmánu 24.	24 de outubro
Golggotmánu 27.	27 de outubro
Golggotmánu 22.	22 de outubro
Golggotmánu 23.	23 de outubro
Golggotmánu 20.	20 de outubro
Golggotmánu 21.	21 de outubro
Golggotmánu 19.	19 de outubro
Golggotmánu 17.	17 de outubro
Golggotmánu 16.	16 de outubro
Golggotmánu 18.	18 de outubro
Skábmamánu 15.	15 de novembro
Skábmamánu 14.	14 de novembro
Skábmamánu 13.	13 de novembro
Skábmamánu 12.	12 de novembro
Skábmamánu 11.	11 de novembro
Skábmamánu 10.	10 de novembro
Skábmamánu 7.	7 de novembro
Skábmamánu 8.	8 de novembro
Skábmamánu 9.	9 de novembro
Skábmamánu 6.	6 de novembro
Skábmamánu 5.	5 de novembro
Skábmamánu 4.	4 de novembro
Skábmamánu 3.	3 de novembro
Skábmamánu 2.	2 de novembro
Skábmamánu 1.	1 de novembro
Skábmamánu 30.	30 de novembro
Skábmamánu 29.	29 de novembro
Skábmamánu 28.	28 de novembro
Skábmamánu 27.	27 de novembro
Skábmamánu 26.	26 de novembro
