Afríka	África
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Miklihvellur	Big Bang
Úranus (reikistjarna)	Urano (planeta)
Nicolas Sarkozy	Nicolas Sarkozy
Neptúnus (reikistjarna)	Netuno (planeta)
Stjörnufræði	Astronomia
Singapúr	Singapura
Vísindi	Ciência
Heimsfræði	Cosmologia
Plútó (dvergreikistjarna)	Plutão
Montréal	Montreal
Frjáls hugbúnaður	Software livre
Framtíð	Futuro
María mey	Maria (mãe de Jesus)
Loðvík 9.	Luís IX de França
Liechtenstein	Liechtenstein
Íþrótt	Desporto
Cambridge	Cambridge
Yellowstone-þjóðgarðurinn	Parque Nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Blanka af Kastilíu	Branca de Castela
Facebook	Facebook
Fangabúðirnar við Guantanamo-flóa	Prisão de Guantánamo
Wikileaks	WikiLeaks
Julian Assange	Julian Assange
Fyrri heimsstyrjöldin	Primeira Guerra Mundial
Seinni heimsstyrjöldin	Segunda Guerra Mundial
Þriðja heimsstyrjöldin	Terceira Guerra Mundial
Köln	Colônia (Alemanha)
Spilling	Corrupção
Wikibækur	Wikilivros
Augusto Pinochet	Augusto Pinochet
Wikivitnun	Wikiquote
Vodka	Vodca
Vaffla	Waffle
Klukka	Relógio
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skopje	Escópia
Bob Dylan	Bob Dylan
Szczecin	Estetino
Stærðfræði	Matemática
U2	U2
Latína	Língua latina
Barein	Bahrein
Armenía	Arménia
Fleygrúnir	Escrita cuneiforme
Higgs-bóseind	Bóson de Higgs
Serbía	Sérvia
Tunglið	Lua
Istanbúl	Istambul
Ástralía	Austrália
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Stjörnulíffræði	Exobiologia
Eðlisfræði	Física
Argentína	Argentina
Fjarskipti	Telecomunicações
Perú	Peru
Líffræði	Biologia
Fljúgandi furðuhlutur	Objeto voador não identificado
Norður-Kórea	Coreia do Norte
Kambódía	Camboja
Kuiperbelti	Cintura de Kuiper
Kóran	Alcorão
Risaeðlur	Dinossauros
Dýrafræði	Zoologia
Íslam	Islão
Bókasafnið í Alexandríu	Biblioteca de Alexandria
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Grasafræði	Botânica
Lech Wałęsa	Lech Wałęsa
Hjól	Roda
Denis Diderot	Denis Diderot
Hugur	Mente
Friður	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Evrópusambandið	União Europeia
Plovdiv	Plovdiv
Star Wars	Star Wars
Veraldarvefurinn	World Wide Web
Kona	Mulher
Sófía	Sófia
Vatnsveitubrú	Aqueduto
Don Kíkóti	Dom Quixote
Ljóðlist	Poesia
Tölvuveira	Vírus de computador
Kjarnorkuárásirnar á Hiroshima og Nagasaki	Bombardeamentos de Hiroshima e Nagasaki
Mílanó	Milão
Minni	Memória
Arthur Rimbaud	Arthur Rimbaud
Tórínó	Turim
Saur	Fezes
Endaþarmsop	Ânus
Sítróna	Limão
Charles Baudelaire	Charles Baudelaire
Banani	Banana
Blóm	Flor
Googol	Googol
Googolplex	Googolplex
Maríanadjúpáll	Fossa das Marianas
Vladimír Vísotskí	Vladimir Vysotsky
Everestfjall	Monte Everest
Líffærafræði	Anatomia
Borg	Cidade
Napóleon Bónaparte	Napoleão Bonaparte
Ólympusfjall (Mars)	Monte Olimpo (Marte)
Lífeðlisfræði	Fisiologia
Sólstjarna	Estrela
Vesúvíus	Vesúvio
Sólin	Sol
Himinn	Céu
Louis Pasteur	Louis Pasteur
Ljósár	Ano-luz
Victor Hugo	Victor Hugo
Eyjaálfa	Oceania
Orvieto	Orvieto
Frjálsar íþróttir	Atletismo
Ritskoðun	Censura
Sólkerfið	Sistema Solar
Eystrasalt	Mar Báltico
Visla	Rio Vístula
Odra	Rio Oder
Tönn	Dente
Vetni	Hidrogénio
Helín	Hélio
Helvíti	Inferno
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litín	Lítio
Beryllín	Berílio
Hátalari	Altifalante
Bók	Livro
Dagur (tímatal)	Dia
Austur-Tímor	Timor-Leste
Ár	Ano
Öld	Século
Łódź	Łódź
Hvítfjall	Monte Branco
Rín (fljót)	Reno
Ósló	Oslo
Bonn	Bona
Allraheilagramessa	Dia de Todos-os-Santos
Katowice	Katowice
Svarthol	Buraco negro
Luís de Camões	Luís de Camões
Seres (dvergreikistjarna)	Ceres (planeta anão)
Lissabon	Lisboa
Rzeszów	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Rón	Rio Ródano
Michael Bloomberg	Michael Bloomberg
Eris (dvergreikistjarna)	Éris (planeta anão)
Dúbaí	Dubai
Lionel Messi	Lionel Messi
Padúa	Pádua
Bór	Boro
Nikulás Kópernikus	Nicolau Copérnico
Versalir	Versalhes
Ludwigsburg	Ludwigsburgo
Kolefni	Carbono
Volga	Rio Volga
Köfnunarefni	Azoto
Súrefni	Oxigénio
F.C. Internazionale Milano	Football Club Internazionale Milano
Reikistjarna	Planeta
Kleópatra 7.	Cleópatra
Tónlist	Música
Feneyjar	Veneza
Pó	Rio Pó
Neva	Rio Neva
Hitamælir	Termômetro
Lille	Lille
Moskva	Moscovo
Flúor	Flúor
Ítalska	Língua italiana
Neon	Néon
Sankti Pétursborg	São Petersburgo
Tsjad	Chade
Natrín	Sódio
Norður	Norte
Magnesín	Magnésio
Ál	Alumínio
Nýja-Sjáland	Nova Zelândia
Suður	Sul
Indland	Índia
Kísill	Silício
Fransín	Frâncio
Túvalú	Tuvalu
Fosfór	Fósforo
André-Marie Ampère	André-Marie Ampère
Óbundið mál	Prosa
Járn	Ferro
Tonga	Tonga
Vestur	Oeste
Brennisteinn	Enxofre
Samóa	Samoa
Austur	Leste
Salómonseyjar	Ilhas Salomão
Vanúatú	Vanuatu
Molière	Molière
Klór	Cloro
Delft	Delft
Papúa Nýja-Gínea	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Suður-Holland	Holanda do Sul
Palá	Palau
Argon	Árgon
Nárú	Nauru
Mozilla Firefox	Mozilla Firefox
Ævintýri	Contos de fadas
Norður-Holland	Holanda do Norte
Míkrónesía (ríki)	Estados Federados da Micronésia
Kalín	Potássio
Sjáland (Holland)	Zelândia (Países Baixos)
Kalsín	Cálcio
Flevoland	Flevolândia
Blý	Chumbo
Marshalleyjar	Ilhas Marshall
Kíribatí	Kiribati
Mongólía	Mongólia
Fídjieyjar	Fiji
Skandín	Escândio
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Títan	Titânio
Venesúela	Venezuela
Skák	Xadrez
Gengis Kan	Gengis Khan
Vanadín	Vanádio
Maine	Maine
Króm	Crômio
Hestur	Equus ferus caballus
Amsterdam	Amesterdão
Vopn	Arma
Dýr	Animalia
Súrínam	Suriname
Mangan	Manganês
Paragvæ	Paraguai
Gvæjana	Guiana
List	Arte
Ekvador	Equador
Renín	Rênio
Kólumbía	Colômbia
Kóbolt	Cobalto
Jean Racine	Jean Racine
Volfram	Tungstênio
Nikkel	Níquel
Jarðarber	Morangueiro
Pierre Corneille	Pierre Corneille
Búddismi	Budismo
Bólivía	Bolívia
Osmín	Ósmio
Groningen (fylki)	Groninga (província)
Kopar	Cobre
Trínidad og Tóbagó	Trinidad e Tobago
Jurt	Plantae
Sankti Vinsent og Grenadíneyjar	São Vicente e Granadinas
Sink	Zinco
New Hampshire	Nova Hampshire
Sankti Lúsía	Santa Lúcia
Leonardo da Vinci	Leonardo da Vinci
Sankti Kristófer og Nevis	São Cristóvão e Nevis
Sveppir	Fungi
Dario Fo	Dario Fo
Jamaíka	Jamaica
Grenada	Granada (país)
Frísland	Frísia (província)
Massachusetts	Massachusetts
Drenthe	Drente
Overijssel	Overissel
Gvatemala	Guatemala
Gelderland	Guéldria
Utrecht (fylki)	Utrecht (província)
Google Chrome	Google Chrome
Bahamaeyjar	Bahamas
Connecticut	Connecticut
Nytjahænsni	Gallus gallus domesticus
Antígva og Barbúda	Antígua e Barbuda
Hawaii	Havaí
Hondúras	Honduras
Dóminíka	Dominica
Jersey	Jersey
Dóminíska lýðveldið	República Dominicana
Svín (tegund)	Sus domesticus
Norður-Íshaf	Oceano Ártico
Haítí	Haiti
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Íran	Irão
Heimska	Estupidez
Írak	Iraque
Alaska	Alasca
Assen	Assen
Kosta Ríka	Costa Rica
Ísrael	Israel
Utrecht	Utrecht
Panama	Panamá
Jemen	Iémen
Lausanne	Lausana
Veira	Vírus
Pólska	Língua polaca
Jórdanía	Jordânia
Níkaragva	Nicarágua
Flórída	Flórida
Kirgisistan	Quirguistão
Arizona	Arizona
Kúveit	Kuwait
Laos	Laos
Líbanon	Líbano
Oregon	Oregon
Maldíveyjar	Maldivas
Ameríka	América
Utah	Utah
Nautgripur	Bos taurus
Malasía	Malásia
Valais	Valais (cantão)
Mikhaíl Búlgakov	Mikhail Bulgákov
Búrma	Myanmar
Nepal	Nepal
Óman	Omã
Pakistan	Paquistão
James Bond	James Bond
Katar	Catar
Tennis	Ténis
Sádí-Arabía	Arábia Saudita
Andrej Tarkovskíj	Andrei Tarkovski
Srí Lanka	Sri Lanka
Jósef Stalín	Josef Stalin
Strikamerki	Código de barras
Sýrland	Síria
Platon	Platão
Gallín	Gálio
Joseph Brodsky	Joseph Brodsky
Tadsjikistan	Tajiquistão
Pokémon	Pokémon
Lýðveldið Kína	República da China
YouTube	YouTube
German	Germânio
Aristóteles	Aristóteles
Taíland	Tailândia
Járnbrautarlest	Trem
Arsen	Arsênio
Útvarp	Rádio (telecomunicações)
Meryl Streep	Meryl Streep
Túrkmenistan	Turquemenistão
Selen	Selênio
Iridín	Irídio
Sameinuðu arabísku furstadæmin	Emirados Árabes Unidos
Bróm	Bromo
Platína	Platina
Víetnam	Vietname
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Suður-Kórea	Coreia do Sul
Józef Piłsudski	Józef Piłsudski
Simpsonfjölskyldan	Os Simpsons
Krypton	Crípton
Afganistan	Afeganistão
J. R. R. Tolkien	J. R. R. Tolkien
Samara	Samara (Rússia)
Rúbidín	Rubídio
Gull	Ouro
Súesskurðurinn	Canal de Suez
Bangladess	Bangladesh
Bleach (anime)	Bleach (mangá)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Malí	Mali
Sókrates	Sócrates
Volgograd	Volgogrado
Angóla	Angola
Bútan	Butão
Twitter	Twitter
Brúnei	Brunei
Tansanía	Tanzânia
Kvikasilfur	Mercúrio (elemento químico)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filippseyjar	Filipinas
Mið-Afríkulýðveldið	República Centro-Africana
Þallín	Tálio
Suðurpóllinn	Polo Sul
Norðurheimskautið	Polo Norte
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Strontín	Estrôncio
Yttrín	Ítrio
Bismút	Bismuto
Gulur	Amarelo
Skammtafræði	Mecânica quântica
Tógó	Togo
Donald Tusk	Donald Tusk
Túnis	Tunísia
John Bardeen	John Bardeen
Sambía	Zâmbia
Simbabve	Zimbabwe
Beijing	Pequim
Suður-Súdan	Sudão do Sul
Vladivostok	Vladivostok
Benín	Benim
Botsvana	Botswana
Búrkína Fasó	Burkina Faso
Búrúndí	Burundi
Kómoreyjar	Comores
Vestur-Kongó	República do Congo
Alkmaar	Alkmaar
Ob	Rio Ob
Austur-Kongó	República Democrática do Congo
San Antonio	San Antonio
Djíbútí	Djibouti
Pólon	Polônio
Bæjaraland	Baviera
Miðbaugs-Gínea	Guiné Equatorial
Baden-Württemberg	Baden-Württemberg
Erítrea	Eritreia
Nýja Delí	Nova Deli
Jóhannes Páll 2.	Papa João Paulo II
Fjodor Dostojevskíj	Fiódor Dostoiévski
Amersfoort	Amersfoort
Kamsjatka	Península de Kamchatka
Tíblisi	Tbilisi
Andrei Sakarov	Andrei Sakharov
Astat	Ástato
Gabon	Gabão
Mohandas Gandhi	Mahatma Gandhi
Samstaða (pólskt verkalýðsfélag)	Solidarność
Teiknimyndasaga	Banda desenhada
Gambía	Gâmbia
Gínea	Guiné
Gínea-Bissá	Guiné-Bissau
Fílabeinsströndin	Costa do Marfim
Kamerún	Camarões
Grænhöfðaeyjar	Cabo Verde
Lesótó	Lesoto
Líbería	Libéria
Líbýa	Líbia
Aachen	Aquisgrano
Madagaskar	Madagáscar
Malaví	Malawi
Stuttgart	Estugarda
Máritanía	Mauritânia
Máritíus	Maurícia
Marokkó	Marrocos
Mósambík	Moçambique
Namibía	Namíbia
France Prešeren	France Prešeren
Níger	Níger
Nígería	Nigéria
Biel/Bienne	Bienna
Charles Darwin	Charles Darwin
Úganda	Uganda
Rúanda	Ruanda
Sirkon	Zircônio
Saó Tóme og Prinsípe	São Tomé e Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seychelles-eyjar	Seicheles
Carolus Linnaeus	Carolus Linnaeus
Síerra Leóne	Serra Leoa
Sómalía	Somália
Níóbín	Nióbio
Jawaharlal Nehru	Jawaharlal Nehru
Júlíus Caesar	Júlio César
Súdan	Sudão
Svasíland	Suazilândia
Regnbogi	Arco-íris
Mólýbden	Molibdênio
Teknetín	Tecnécio
Hamborg	Hamburgo
Italo Balbo	Italo Balbo
Efnaskipti	Metabolismo
Ónæmiskerfi	Sistema imunitário
Gujarat	Gujarate
Þróunarkenningin	Evolução
Sameinuðu þjóðirnar	Organização das Nações Unidas
Lake Superior	Lago Superior
Dante Alighieri	Dante Alighieri
Jarðfræði	Geologia
Ahmedabad	Ahmedabad
Landfræði	Geografia
Hjarta	Coração
Heili	Cérebro
Húð	Pele
Litur	Cor
Nafnorð	Substantivo
Prag	Praga
Rúten	Rutênio
Ródín	Ródio
Blár	Azul
Palladín	Paládio
Silfur	Prata
Kadmín	Cádmio
Star Trek	Star Trek
Limburg (Holland)	Limburgo (Países Baixos)
Indín	Índio (elemento químico)
Limburg (Belgía)	Limburgo (Bélgica)
Tin	Estanho
Úran	Urânio
Antímon	Antimônio
Tellúr	Telúrio
Norður-Brabant	Brabante do Norte
Plútóníum	Plutónio
Joð	Iodo
Neptúnín	Neptúnio
Xenon	Xenônio
Anime	Anime
Sesín	Césio
Rafhleðsla	Carga elétrica
Barín	Bário
Vestur-Flæmingjaland	Flandres Ocidental
Austur-Flæmingjaland	Flandres Oriental
Þórín	Tório
Antwerpen-hérað	Antuérpia (província)
Flæmska Brabant	Brabante Flamengo
Hafnín	Háfnio
Vallónska Brabant	Brabante Valão
Tantal	Tântalo (elemento químico)
Bill Clinton	Bill Clinton
Lúxemborg (hérað)	Luxemburgo (Bélgica)
Liege (hérað)	Liège (província)
Radín	Rádio (elemento químico)
Hainaut	Hainaut
Radon	Rádon
Elsass	Alsácia
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merkúríus (guð)	Mercúrio (mitologia)
Hector Berlioz	Hector Berlioz
Mumbai	Bombaim
Andhra Pradesh	Andra Pradexe
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bíhar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Michiganvatn	Lago Michigan
Góa (fylki)	Goa
Bourgogne	Borgonha
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Jammú og Kasmír	Jammu e Caxemira
Púertó Ríkó	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Querala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Slésvík-Holtsetaland	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenborg-Vorpommern	Mecklemburgo-Pomerânia Ocidental
Neðra-Saxland	Baixa Saxônia
Norðurrín-Vestfalía	Renânia do Norte-Vestfália
Hessen	Hesse
Rínarland-Pfalz	Renânia-Palatinado
Saarland	Sarre
Saxland	Saxônia
John Lennon	John Lennon
Illinois	Illinois
Þýringaland	Turíngia
Saxland-Anhalt	Saxônia-Anhalt
Norður-Dakóta	Dakota do Norte
Brandenborg	Brandemburgo
Langbarðaland	Lombardia
Suður-Dakóta	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Fjallaland	Piemonte
Jerúsalem	Jerusalém
Idaho	Idaho
Ágústudalur	Vale de Aosta
Washington (fylki)	Washington
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordín	Rutherfórdio
Nevada	Nevada
Don	Rio Don
Francesco Cossiga	Francesco Cossiga
Seborgín	Seabórgio
Giovanni Leone	Giovanni Leone
Trentínó-Suður-Týról	Trentino-Alto Ádige
Indlandshaf	Oceano Índico
Antonio Segni	Antonio Segni
Luigi Einaudi	Luigi Einaudi
Venetó	Vêneto
Kosóvó	Kosovo
Karíbahaf	Mar do Caribe
Friúlí	Friul-Veneza Júlia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Lígúría	Ligúria
Colorado	Colorado
Emilía-Rómanja	Emília-Romanha
U Thant	U Thant
Frédéric Chopin	Frédéric Chopin
Sulta	Doce (alimento)
Röntgenín	Roentgênio
Toskana	Toscana
Leonard Cohen	Leonard Cohen
Marke	Marcas
Úmbría	Úmbria
Flokkur:Efnisflokkar	Categoria:Conteúdo
Latíum	Lácio
Abrútsi	Abruzos
Appennínafjöll	Apeninos
Alpafjöll	Alpes
Jansenismi	Jansenismo
Karpatafjöll	Cárpatos
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Damm	Damas
Dortmund	Dortmund
Gent	Gante
Chicago	Chicago
Bítlarnir	The Beatles
Ununquadín	Fleróvio
Maastricht	Maastricht
Arnhem	Arnhem
Vetur	Inverno
Vor	Primavera
Sumar	Verão
Haust	Outono
Jafndægur	Equinócio
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Spænska	Língua castelhana
Friedrich Hayek	Friedrich Hayek
Montevídeó	Montevidéu
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
Ópera	Ópera
Philadelphia	Filadélfia
Kolkata	Calcutá
Chennai	Chennai
Delí	Deli
Dakka	Daca
Bangalore	Bangalore
Vestur-Bengal	Bengala Ocidental
Köngulær	Aranha
Áttfætlur	Aracnídeos
Liðdýr	Artrópode
Hyderabad	Hyderabad (Andhra Pradesh)
Islamabad	Islamabad
Tripura	Tripura
Ávöxtur	Fruto
Peningar	Dinheiro
Virginía (fylki)	Virgínia
Vestur-Virginía	Virgínia Ocidental
Píran	Piran
New York-fylki	Nova Iorque (estado)
Rhode Island	Rhode Island
Skordýr	Insetos
Maryland	Maryland
Delaware (fylki)	Delaware
Vladímír Lenín	Lenin
Ohio	Ohio
Virgill	Virgílio
Niccolò Machiavelli	Nicolau Maquiavel
Pennsylvanía	Pensilvânia
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Ágústus	Augusto
Microsoft Windows	Microsoft Windows
Tíberíus	Tibério
New Jersey	Nova Jérsia
Calígúla	Calígula
Gíbraltar	Gibraltar
Claudíus	Cláudio
Finnska	Língua finlandesa
Neró	Nero
Galba	Galba
Indiana (fylki)	Indiana
Otho	Otão
Vitellius	Vitélio
Nokia	Nokia
Vespasíanus	Vespasiano
Bifreið	Automóvel
Títus	Tito (imperador)
Juventus FC	Juventus Football Club
Dómitíanus	Domiciano
Nerva	Nerva
Trajanus	Trajano
Roger Federer	Roger Federer
Hadríanus	Adriano
Georgía (fylki BNA)	Geórgia (Estados Unidos)
Antonínus Píus	Antonino Pio
Markús Árelíus	Marco Aurélio
KDE	KDE
Lucius Verus	Lúcio Vero
Commodus	Cómodo
Zagreb	Zagreb
Rajasthan	Rajastão
Kampanía	Campânia
Texas	Texas
Didius Julianus	Dídio Juliano
Septimius Severus	Septímio Severo
Mólíse	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracala
Apúlía	Apúlia
Genúa	Génova
Bruno Mars	Bruno Mars
Pínatúbó	Pinatubo
Basilíkata	Basilicata
Norður-Karólína	Carolina do Norte
Hokkí	Hóquei em campo
Suður-Karólína	Carolina do Sul
Kalabría	Calábria
Sikiley	Sicília
Maníla	Manila
Sardinía	Sardenha
Leira (fljót)	Rio Loire
Signa	Sena
Davaó	Davao
Le Mans	Le Mans
Bordeaux	Bordéus
Mayon	Vulcão Mayon
Rauðir úlfar	Lúpus eritematoso sistêmico
Búenos Aíres	Buenos Aires
Tölvuþrjótur	Hacker
Mexíkóborg	Cidade do México
Tókýó	Tóquio
La Paz	La Paz
Barselóna	Barcelona
Ananas	Ananás
Mississippi (fylki)	Mississippi
Ferdinand Magellan	Fernão de Magalhães
Mississippifljót	Rio Mississippi
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Sundlaug	Piscina
Mizoram	Mizoram
Sikkim	Siquim
Patagónía	Patagónia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
