Africa	África
Japan	Japão
South America	América do Sul
Norway	Noruega
Scotland	Escócia
Wales	País de Gales
Ireland	República da Irlanda
Hungary	Hungria
Spain	Espanha
United States of America	Estados Unidos
Belgium	Bélgica
Luxembourg	Luxemburgo
Rudunhumwe	Universo
Rinopasi	Terra
Finland	Finlândia
Sweden	Suécia
Denmark	Dinamarca
Poland	Polónia
Lithuania	Lituânia
Italy	Itália
Switzerland	Suíça
Austria	Áustria
Greece	Grécia
Turkey	Turquia
Doro	Cerveja
Portugal	Portugal
Europe	Europa
Asia	Ásia
North America	América do Norte
Netherlands	Países Baixos
Mboro	Pênis
Washington, DC	Washington, D.C.
Bern	Berna
Uruguay	Uruguai
London	Londres
Cairo	Cairo
Alexandria	Alexandria
Paris	Paris
Mexico	México
Gungwa reAtlantic	Oceano Atlântico
Gungwa rePacific	Oceano Pacífico
Muvhuro	Segunda-feira
Kenya	Quénia
Ethiopia	Etiópia
Ghana	Gana
Gunyana	Setembro
Chipiri	Terça-feira
Chitatu	Quarta-feira
China (Musi)	Quinta-feira
Chishanu (musi)	Sexta-feira
Mugovera	Sábado
Svondo (musi)	Domingo
Shumba	Leão
France	França
Imbwa	Canis lupus familiaris
United Kingdom	Reino Unido
Katsi	Gato
China (nyika)	República Popular da China
Hove	Peixe
Brazil	Brasil
Russian Federation	Rússia
Skweya	Quadrado
Germany	Alemanha
Belarus	Bielorrússia
Iceland	Islândia
Mwari	Deus
Estonia	Estónia
Ndege	Avião
Hondo	Guerra
Motsi	Um
Piri	Dois
Tatu	Três
China	Quatro
Shanu	Cinco
Chipasina	0 (número)
Ruramamakonyo	Retângulo
Rurama (pimanyika)	Ângulo reto
Latvia	Letónia
Ukraine	Ucrânia
Czechia	República Checa
Slovakia	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Romania	Roménia
Bulgaria	Bulgária
Rome	Roma
Macedonia	República da Macedónia
Albania	Albânia
Croatia	Croácia
Bosnia and Herzegovina	Bósnia e Herzegovina
Azerbaijan	Azerbaijão
Andorra	Andorra
Cyprus	Chipre
Georgia	Geórgia
Kazakhstan	Cazaquistão
Malta	Malta
Monaco	Mónaco
Montenegro	Montenegro
Vatican City	Vaticano
San Marino	San Marino
Brussels	Bruxelas
Cuba	Cuba
Belize	Belize
Barbados	Barbados
Indonesia	Indonésia
South Africa	África do Sul
Algeria	Argélia
Uzbekistan	Uzbequistão
Tashkent	Tashkent
Warsaw	Varsóvia
Mvura	Água
Dehwe	Couro
Chile	Chile
Nhoroondo	História
Mutauro	Linguagem
Zvechadenga	Astronomia
Singapore	Singapura
Liechtenstein	Liechtenstein
Hondo yePasirose yeChiposhi	Primeira Guerra Mundial
Hondo yePasirose yeChipiri	Segunda Guerra Mundial
Skopje	Escópia
Masvomhu	Matemática
Bahrain	Bahrein
Armenia	Arménia
Serbia	Sérvia
Mwedzi (mutumbi)	Lua
Australia	Austrália
Fundoyetsimba	Física
Argentina	Argentina
Peru	Peru
Ketaupenyu	Biologia
North Korea	Coreia do Norte
Cambodia	Camboja
Ketamhuka	Zoologia
Islam	Islão
Ljubljana	Liubliana
Rugare	Paz
Mukadzi	Mulher
Sofia	Sófia
Husimbe	Preguiça
Nyemwerera	Riso
Milan	Milão
Dhodhi	Fezes
Mukosho	Ânus
Ruva	Flor
Guta	Cidade
Nyenyedzi	Estrela
Zuva	Sol
Dandira reMushana	Sistema Solar
Bhuku	Livro
Musi	Dia
East Timor	Timor-Leste
Husiku	Noite
Gore	Ano
Mwaka wechizana	Século
Oslo	Oslo
Lisbon	Lisboa
Nyeredzi	Planeta
Mimhanzi	Música
Moscow	Moscovo
Chad	Chade
Maodzanyemba	Norte
New Zealand	Nova Zelândia
Chamhembe	Sul
India	Índia
Tuvalu	Tuvalu
Tonga	Tonga
Madokero	Oeste
Samoa	Samoa
Mabvazuva	Leste
Solomon Islands	Ilhas Salomão
Vanuatu	Vanuatu
Papua New Guinea	Papua-Nova Guiné
Palau	Palau
Nauru	Nauru
Federated States of Micronesia	Estados Federados da Micronésia
Marshall Islands	Ilhas Marshall
Kiribati	Kiribati
Mongolia	Mongólia
Fiji	Fiji
Venezuela	Venezuela
Bhiza	Equus ferus caballus
Amsterdam	Amesterdão
Zvombo	Arma
Mhuka	Animalia
Suriname	Suriname
Paraguay	Paraguai
Guyana	Guiana
Ecuador	Equador
Colombia	Colômbia
Bolivia	Bolívia
Trinidad and Tobago	Trinidad e Tobago
Madzinde	Plantae
Saint Vincent and the Grenadines	São Vicente e Granadinas
Zeng'e	Zinco
Saint Lucia	Santa Lúcia
Saint Kitts and Nevis	São Cristóvão e Nevis
Jamaica	Jamaica
Grenada	Granada (país)
Guatemala	Guatemala
The Bahamas	Bahamas
Huku	Gallus gallus domesticus
Antigua and Barbuda	Antígua e Barbuda
Honduras	Honduras
Dominica	Dominica
Dominican Republic	República Dominicana
