ఆఫ్రికా	África
జెర్సీ	Jersey
డొమెనికన్ రిపబ్లిక్	República Dominicana
పంది	Sus domesticus
ఆర్క్‌టిక్ మహాసముద్రం	Oceano Ártico
ఇరాన్	Irão
మూగతనం	Estupidez
ఇరాక్	Iraque
అలాస్కా	Alasca
వివేకం	Sapiência
కోస్టారీకా	Costa Rica
ఇజ్రాయిల్	Israel
పనామా	Panamá
యెమన్	Iémen
వైరస్	Vírus
జోర్డాన్	Jordânia
ఫ్లోరిడా	Flórida
కిర్గిజిస్తాన్	Quirguistão
ఆరిజోనా	Arizona
కువైట్	Kuwait
లావోస్	Laos
లెబనాన్	Líbano
ఓరెగాన్	Oregon
మాల్దీవులు	Maldivas
యూటా	Utah
పశువు	Bos taurus
మలేషియా	Malásia
మయన్మార్	Myanmar
నేపాల్	Nepal
ఒమన్	Omã
పాకిస్తాన్	Paquistão
‌జేమ్స్ బాండ్	James Bond
కతర్	Catar
టెన్నిస్	Ténis
సౌదీ అరేబియా	Arábia Saudita
శ్రీలంక	Sri Lanka
స్టాలిన్	Josef Stalin
బార్‌కోడ్	Código de barras
సిరియా	Síria
ప్లేటో	Platão
గాలియం	Gálio
తజికిస్తాన్	Tajiquistão
తైవాన్	República da China
యూ ట్యూబ్	YouTube
జెర్మేనియం	Germânio
అరిస్టాటిల్	Aristóteles
థాయిలాండ్	Tailândia
రైలు	Trem
ఆర్సెనిక్	Arsênio
రేడియో	Rádio (telecomunicações)
తుర్కమేనిస్తాన్	Turquemenistão
సెలీనియం	Selênio
యునైటెడ్ అరబ్ ఎమిరేట్స్	Emirados Árabes Unidos
బ్రోమిన్	Bromo
వియత్నాం	Vietname
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	Coreia do Sul
ఆఫ్ఘనిస్తాన్	Afeganistão
బంగారం	Ouro
సూయజ్ కాలువ	Canal de Suez
శాస్త్రవేత్త	Cientista
బంగ్లాదేశ్	Bangladesh
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Sócrates
అంగోలా	Angola
భూటాన్	Butão
ట్విట్టర్	Twitter
బ్రూనై	Brunei
టాంజానియా	Tanzânia
ఫిలిప్పీన్స్	Filipinas
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	República Centro-Africana
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Estrôncio
పసుపు (రంగు)	Amarelo
ట్యునీషియా	Tunísia
జాంబియా	Zâmbia
జింబాబ్వే	Zimbabwe
బీజింగ్	Pequim
దక్షిణ సూడాన్	Sudão do Sul
బెనిన్	Benim
బోత్సువానా	Botswana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Comores
కాంగో రిపబ్లిక్	República do Congo
శాన్ అంటోనియో	San Antonio
జిబౌటి	Djibouti
బవేరియా	Baviera
ఎరిత్రియా	Eritreia
క్రొత్త ఢిల్లీ	Nova Deli
దాస్తొయెవ్‌స్కీ	Fiódor Dostoiévski
గబాన్	Gabão
మహాత్మా గాంధీ	Mahatma Gandhi
కామిక్స్	Banda desenhada
గాంబియా	Gâmbia
కోటె డి ఐవొరి	Costa do Marfim
కామెరూన్	Camarões
కేప్ వర్దె	Cabo Verde
లిబియా	Líbia
మడగాస్కర్	Madagáscar
మౌరిటానియ	Mauritânia
మారిషస్	Maurícia
మొరాకో	Marrocos
మొజాంబిక్	Moçambique
నమీబియా	Namíbia
నైజర్	Níger
నైజీరియా	Nigéria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Uganda
రువాండా	Ruanda
సెనెగల్	Senegal
కరోలస్ లిన్నేయస్	Carolus Linnaeus
సొమాలియా	Somália
నియోబియం	Nióbio
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Júlio César
సూడాన్	Sudão
ఇంద్రధనస్సు	Arco-íris
టెక్నీషియం	Tecnécio
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Sistema imunitário
గుజరాత్	Gujarate
పరిణామం	Evolução
ఐక్యరాజ్య సమితి	Organização das Nações Unidas
భూగోళ శాస్త్రము	Geografia
గుండె	Coração
మెదడు	Cérebro
చర్మము	Pele
రంగు	Cor
నామవాచకం	Substantivo
నీలము	Azul
వెండి	Prata
కాడ్మియం	Cádmio
తగరము	Estanho
అయోడిన్	Iodo
సీసియం	Césio
విద్యుద్భరితము	Carga elétrica
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Bombaim
ఆంధ్ర ప్రదేశ్	Andra Pradexe
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Michigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu e Caxemira
ఫ్యూర్టో రికో	Porto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Querala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharashtra
మణిపూర్	Manipur
మేఘాలయ	Meghalaya
ఇల్లినాయిస్	Illinois
నార్త్ డకోటా	Dakota do Norte
సౌత్ డకోటా	Dakota do Sul
మొంటానా	Montana
వయోమింగ్	Wyoming
జెరూసలేం	Jerusalém
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada
హిందూ మహాసముద్రం	Oceano Índico
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado
యూ థాంట్	U Thant
కొలరాడో నది	Rio Colorado
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Categoria:Conteúdo
ఆల్ప్స్ పర్వతాలు	Alpes
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Inverno
వేసవి కాలం	Verão
విషువత్తు	Equinócio
సద్దామ్ హుసేన్	Saddam Hussein
ఒసామా బిన్ లాదెన్	Osama bin Laden
స్పానిష్ భాష	Língua castelhana
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Filadélfia
కోల్‌కత	Calcutá
చెన్నై	Chennai
ఢిల్లీ	Deli
ఢాకా	Daca
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	Bengala Ocidental
సాలెపురుగు	Aranha
ఆర్థ్రోపోడా	Artrópode
హైదరాబాదు	Hyderabad (Andhra Pradesh)
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Fruto
కోతి	Macaco
ధనం	Dinheiro
వర్జీనియా	Virgínia
పశ్చిమ వర్జీనియా	Virgínia Ocidental
న్యూయార్క్ రాష్ట్రం	Nova Iorque (estado)
రోడ్ ఐలండ్	Rhode Island
కీటకము	Insetos
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Lenin
ఒహాయో	Ohio
మాకియవెలీ	Nicolau Maquiavel
పెన్సిల్వేనియా	Pensilvânia
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Augusto
విండోస్	Microsoft Windows
న్యూజెర్సీ	Nova Jérsia
నీరో	Nero
ఇండియానా	Indiana
నోకియా	Nokia
కారు	Automóvel
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Geórgia (Estados Unidos)
కెడిఇ(KDE)	KDE
రాజస్థాన్	Rajastão
టెక్సస్	Texas
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	Carolina do Norte
మైదాన హాకీ	Hóquei em campo
సౌత్ కెరొలినా	Carolina do Sul
సిసిలీ	Sicília
మనీలా	Manila
సార్డీనియా	Sardenha
క్రోన్స్ వ్యాధి	Doença de Crohn
టోక్యో	Tóquio
అనాస	Ananás
మిసిసిపీ	Mississippi
మిసిసిపీ నది	Rio Mississippi
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Piscina
మిజోరాం	Mizoram
సిక్కిం	Siquim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur
న్యూ మెక్సికో	Novo México
ఏథెన్స్	Atenas
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Pune
అయోవా	Iowa
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas
హిందీ భాష	Língua hindi
మరాఠీ భాష	Língua marata
పొగ చుట్ట	Charuto
సిగరెట్	Cigarro
వినాయకుడు	Ganexa
మిస్సోరీ	Missouri
లూసియానా	Luisiana
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Língua urdu
ఓక్లహోమా	Oklahoma
డానుబే	Rio Danúbio
వాలీబాల్	Voleibol
వియన్నా	Viena
కోపెన్‌హాగన్	Copenhaga
స్టాక్‌హోమ్	Estocolmo
కొచ్చి	Cochim
బైబిల్	Bíblia
నిజ ఏసుక్రీస్తు మండలి	Verdadeira Igreja de Jesus
ఆంగ్ల భాష	Língua inglesa
బ్యాంకాక్	Banguecoque
క్యివ్	Kiev
అంటారియో	Ontário
అటావా	Ottawa
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Fórmula 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Dióxido de carbono
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florença
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Alimento
పాము	Serpente
XML	XML
నోటితో రతి	Sexo oral
న్యూట్రినో	Neutrino
సన్ గోకు (డ్రాగన్ బాల్)	Son Goku
జనవరి 1	1 de janeiro
జనవరి 2	2 de janeiro
సుభాష్ చంద్రబోస్	Subhas Chandra Bose
1920	1920
జనవరి 3	3 de janeiro
1919	1919
1921	1921
1922	1922
జనవరి 4	4 de janeiro
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Cintura de asteroides
గిఫ్	Graphics Interchange Format
మరుగుజ్జు గ్రహం	Planeta anão
జనవరి 5	5 de janeiro
జనవరి 6	6 de janeiro
ఎలక్ట్రాన్	Elétron
జనవరి 7	7 de janeiro
జనవరి 8	8 de janeiro
జనవరి 9	9 de janeiro
జనవరి 10	10 de janeiro
జనవరి 11	11 de janeiro
జనవరి 12	12 de janeiro
జనవరి 13	13 de janeiro
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	14 de janeiro
జనవరి 15	15 de janeiro
జనవరి 16	16 de janeiro
జనవరి 17	17 de janeiro
జనవరి 18	18 de janeiro
జనవరి 19	19 de janeiro
జనవరి 20	20 de janeiro
పారిశ్రామిక విప్లవం	Revolução Industrial
జనవరి 21	21 de janeiro
జనవరి 22	22 de janeiro
జనవరి 23	23 de janeiro
జనవరి 24	24 de janeiro
జనవరి 25	25 de janeiro
జనవరి 26	26 de janeiro
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27 de janeiro
జనవరి 28	28 de janeiro
జనవరి 29	29 de janeiro
జనవరి 30	30 de janeiro
జనవరి 31	31 de janeiro
ప్రోటాన్	Próton
డిసెంబర్ 2	2 de dezembro
డిసెంబర్ 1	1 de dezembro
డిసెంబర్ 3	3 de dezembro
డిసెంబర్ 7	7 de dezembro
డిసెంబర్ 5	5 de dezembro
డిసెంబర్ 8	8 de dezembro
డిసెంబర్ 10	10 de dezembro
డిసెంబర్ 6	6 de dezembro
డిసెంబర్ 9	9 de dezembro
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4 de dezembro
ఫిబ్రవరి 1	1 de fevereiro
ఫిబ్రవరి 2	2 de fevereiro
ఫిబ్రవరి 3	3 de fevereiro
కురోవ్	Kurów
ఫిబ్రవరి 4	4 de fevereiro
ఫిబ్రవరి 5	5 de fevereiro
ఫిబ్రవరి 6	6 de fevereiro
ఫిబ్రవరి 7	7 de fevereiro
ఫిబ్రవరి 8	8 de fevereiro
ఫిబ్రవరి 9	9 de fevereiro
ఫిబ్రవరి 10	10 de fevereiro
రసాయన శాస్త్రము	Química
ఫిబ్రవరి 14	14 de fevereiro
ఫిబ్రవరి 13	13 de fevereiro
ఫిబ్రవరి 15	15 de fevereiro
ఫిబ్రవరి 11	11 de fevereiro
ఫిబ్రవరి 12	12 de fevereiro
ఫిబ్రవరి 19	19 de fevereiro
ఫిబ్రవరి 17	17 de fevereiro
ఫిబ్రవరి 16	16 de fevereiro
ఫిబ్రవరి 18	18 de fevereiro
ఫిబ్రవరి 20	20 de fevereiro
12 యాంగ్రీ మెన్	12 Angry Men
న్యూట్రాన్	Nêutron
69 భంగిమ	69 (posição sexual)
ఫిబ్రవరి 21	21 de fevereiro
ఫిబ్రవరి 22	22 de fevereiro
ఫిబ్రవరి 23	23 de fevereiro
ఫిబ్రవరి 24	24 de fevereiro
ఫిబ్రవరి 25	25 de fevereiro
ఫిబ్రవరి 26	26 de fevereiro
ఫిబ్రవరి 27	27 de fevereiro
ఫిబ్రవరి 28	28 de fevereiro
డిసెంబర్ 11	11 de dezembro
ఫిబ్రవరి 29	29 de fevereiro
డిసెంబర్ 12	12 de dezembro
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	13 de dezembro
డిసెంబర్ 14	14 de dezembro
డిసెంబర్ 15	15 de dezembro
మార్చి 2	2 de março
మార్చి 3	3 de março
మార్చి 5	5 de março
మార్చి 1	1 de março
మార్చి 7	7 de março
మార్చి 8	8 de março
మార్చి 4	4 de março
మార్చి 10	10 de março
మార్చి 11	11 de março
మార్చి 6	6 de março
మార్చి 13	13 de março
మార్చి 9	9 de março
మార్చి 12	12 de março
మార్చి 15	15 de março
మార్చి 14	14 de março
డిసెంబర్ 16	16 de dezembro
డిసెంబర్ 17	17 de dezembro
మార్చి 16	16 de março
మార్చి 17	17 de março
మార్చి 18	18 de março
మార్చి 19	19 de março
1989	1989
1988	1988
మార్చి 20	20 de março
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21 de março
1983	1983
మార్చి 22	22 de março
1982	1982
1981	1981
డిసెంబర్ 18	18 de dezembro
1980	1980
మార్చి 23	23 de março
డిసెంబర్ 19	19 de dezembro
మార్చి 24	24 de março
మార్చి 25	25 de março
డిసెంబర్ 20	20 de dezembro
మార్చి 26	26 de março
మార్చి 27	27 de março
మార్చి 28	28 de março
మార్చి 29	29 de março
మార్చి 30	30 de março
మార్చి 31	31 de março
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	15 de abril
ఏప్రిల్ 13	13 de abril
ఏప్రిల్ 12	12 de abril
